KBA,WMI1,WMI2,Name,FullName,Location
6776,,,KRUEGER,GERHARD KRUEGER GMBH MASCHINENFABRIK,RIEDEN B.KAUFBEUREN/ALLGAEU
6777,W09,S17,SCHEUERLE,SCHEUERLE Fahrzeugfabrik GmbH,Pfedelbach
6778,,,TRAMNITZ,KURT TRAMNITZ GMBH,ITZEHOE
6779,,,FEKA,"FEKA, FABRIK F.SPEZIALFAHRZEUGE KRAFT & CO KG",KASSEL
6780,,,DEPRAG,"DEPRAG, PRESSLUFTMASCHINEN SCHULZ KG",AMBERG/OBERPFALZ
6781,,,"STOCKBURGER, EUGEN",EUGEN STOCKBURGER FAHRZEUGFABRIK,REUTLINGEN/WUERTTEMBERG
6782,,,BAYER,FAHRZEUGFABRIK HANS BAYER,HOLZHEIM B.NEUSS
6783,W09,H41,"HENDRICKS, KLEVE",HENDRICKS FAHRZEUGBAU GMBH & CO KG (ANHAENGER),KLEVE
6784,WHU,,HEKU,HEKU-Fahrzeugbau GmbH,Bielefeld
6785,,,SENDENHORSTER MASCH.,SENDENHORSTER MASCHINENFABRIK GMBH,SENDENHORST/WESTFALEN
6786,,,PLATZER,XAVER PLATZER FAHRZEUGBAU,NEUMARKT/OBERPFALZ
6787,WLA,,LANGENDORF,Langendorf GmbH,Waltrop
6788,,,"COBOLT, BOLTE&COMPART",COBOLT FAHRZEUGBAU -BOLTE & COMPART-,HAMBURG
6789,W09,F42,FROMM,RICHARD FROMM FAHRZEUGBAU (ANHAENGER),WIESLOCH
6790,W09,W34,WOLPERDING,GEBRUEDER WOLPERDING OHG ANHAENGERBAU U.VERTRIEB,WINSEN/LUHE
6791,,,AHLMANN-CARLSHUETTE,AHLMANN-CARLSHUETTE KG,RENDSBURG
6792,,,AMELUNG,CARL AMELUNG FAHRZEUGFABRIK,DUISBURG
6793,,,"FUCHS, JOHANNES",JOHANNES FUCHS KG,DITZINGEN
6794,,,STURM,GEBR.STURM MOTORLANDMASCHINEN,PLOCHINGEN/NECKAR
6795,W09,W40,WEISIG,WEISIG MASCHINENBAU GMBH (ANHAENGER),ALFELD/LEINE
6796,W09,T30,TEBBE,ALBERT TEBBE GMBH & CO KG MASCHINENFABRIK(ANHAENGER),SCHLEDEHAUSEN KRS.OSNABRUECK
6797,,,URBAN,URBAN GMBH STANZ-U.MASCHINENFABRIK,VELBERT/RHEINLAND
6798,W09,P10,PIETSCH,MAX PIETSCH KG GMBH & CO (ARBEITSMASCHINEN),LAATZEN
6799,,,EISENWERK WESERHUETT,EISENWERK WESERHUETTE AG,BAD OEYNHAUSEN
6800,W09,K71,"KUFER, JUN.",BERNHARD KUFER JUN.ANHAENGERBAU,STARNBERG
6801,,,SEMEX,SEMEX NUTZFAHRZEUGE GMBH,DORSTEN
6802,W09,B27,BORCO-HOEHNS,Fahrzeugwerk Borco-Höhns GmbH & Co. KG,ROTENBURG/WUEMME
6803,,,RINEL,RINEL-WOHNWAGENGESELLSCHAFT W.DURIEUX & CO KG,EMMERICH/RHEIN
6804,,,BREDEMEIER,GERHARD BREDEMEIER LANDMASCHINEN U.FAHRZEUGE,WARMSEN
6805,,,"MIDDENDORF, MARKTSCH.",MIDDENDORF GMBH (ANHAENGER),MARKTSCHORGAST
6806,,,AURIN U.JASSE,DIETER AURIN U.WALTER JASSE ANHAENGERBAU,BERLIN
6807,,,FAEHTZ,HEINZ FAEHTZ FAHRZEUG-U.MASCHINENFABRIK,EDELSBERG UEB.WEILBURG
6808,,,JOBA,JOBA STALL-UND REGENTECHNIK GMBH,BASSUM
6809,,,RIEDER,JOSEF RIEDER FAHRZEUGBAU,KENZINGEN
6810,W09,B17,BALNUWEIT,BALNUWEIT KAROSSERIEBAU GMBH,GIFHORN
6811,WBR,,BARTHAU ANHAENGERBAU,BARTHAU ANHAENGERBAU GMBH,UNTERMUENKHEIM-BRACHBACH
6812,,,"MORHARD, ALBERT",ALBERT MORHARD KAROSSERIEBAU,UEBERBERG-ZUMWEILER/KREIS CALW
6813,,,SCHROETER,K.HEINZ SCHROETER,HILDESHEIM
6814,W09,D18,"DREYER, ERNST-AUGUST",ING.E.-A.DREYER GMBH FAHRZEUG-U.KAROSSERIEBAU (ANH),HANNOVER
6815,W09,D23,DUENNE,WILHELM DUENNE (ANHAENGER),RASTEDE-NETHEN/AMMERLAND
6816,,,FOPPE-REISIGER,JOHANNES FOPPE-REISIGER METALLBAU,HANDRUP KRS.LINGEN/EMS
6817,,,DIA PUMPENFABRIK,DIA PUMPENFABRIK HAMMELRATH & SCHWENZER GMBH & CO KG,DUESSELDORF
6818,,,GENERAL PRODUCTS (D),GENERAL PRODUCTS GMBH,HUECKELHOVEN-BAAL
6819,,,ROLAND TANKBAU,ROLAND TANKBAU GMBH & CO KG,PINNEBERG
6820,,,DEHLER YACHTBAU,DEHLER YACHTBAU GMBH,MESCHEDE
6821,,,BIEBER,"BIEBER AUTO TECHNIK, BIEBER + PARTNER (BUGGY)",BORKEN
