KBA,WMI1,WMI2,Name,FullName,Location
6370,,,BOTHE,FRITZ BOTHE,WICHTRINGHAUSEN
6371,,,MANN,W.MANN GMBH,KREUZNACH
6372,W09,M03,MOSEL,MOSEL & CO GMBH (ANHAENGER),KEHL-LEUTESHEIM
6373,,,NEUFELD,JOSEF NEUFELD FAHRZEUGBAU,FRONTENHAUSEN
6374,,,PELLENZ,PELLENZ,MENDIG
6375,W09,P21,PLASSMANN,HERBERT PLASSMANN PKW-ANHAENGERBAU,BOCHUM-WATTENSCHEID
6376,,,SOLBACH,PAUL SOLBACH GMBH & CO KG,MORSBACH/SIEG
6377,W09,S60,STEINSBERGER,STEINSBERGER GMBH FAHRZEUGBAU (ANHAENGER),WANGEN B.GOEPPINGEN
6378,,,WALTER.P.,P.WALTER,WEINHEIM
6379,,,WASKOWSKI,K.F.WASKOWSKI,NEUKIRCHEN
6380,,,WOLTERS,WOLTERS FAHRZEUGBAU,WESEL
6381,W09,D20,"DOLL, FISCHBACH",FAHRZEUGBAU ANTON DOLL (ANHAENGER),NUERNBERG-FISCHBACH
6382,,,BLUMHARDT & REHME,C.BLUMHARDT & REHME,LINGEN
6383,,,"KRAMER,GEBR.",GEBR.KRAMER GMBH,EMMERICH
6384,W09,B34,BLOMENROEHR,BLOMENROEHR FAHRZEUGBAU GMBH (ANHAENGER),GESEKE
6385,,,MOCH,HERMANN MOCH,MENDEN
6386,,,DUESTERHAUS,HEINRICH DUESTERHAUS KAROSSERIE-U.FAHRZEUGBAU (ANH),PADERBORN
6387,,,MROSS,G.MROSS,DIMHAUSEN
6388,,,STOLL,STOLL,BAD NAUHEIM
6389,W09,M55,"MECUSS,RUDOLF",FAHRZEUGBAU RUDOLF MECUSS (ANHAENGER),HAMMINKELN
6390,,,WEYHAUSEN,F.Weyhausen AG & Co.KG Maschinenfabrik,Wildeshausen
6391,W09,W09,WAHLE,JULIUS WAHLE FAHRZEUGBAU (ANHAENGER),SCHWANAU
6392,WRE,,RETTENMAIER,FRANZ RETTENMAIER METALL-U.TRANSPORTGERAETEBAU (ANH),HUETTLINGEN
6393,,,"WERNER,E.",E.WERNER,DILLENBURG
6394,W09,SB9,SCHOELCH,HEINRICH SCHOELCH GMBH KARROSSERIE-U.FAHRZEUGB.(ANH),KASSEL
6395,,,SCHIEFERSTEIN,SCHIEFERSTEIN,LICH
6396,,,"KUEHN,HANS",HANS KUEHN,OSTERODE/HARZ
6397,,,DE FRIES,HEINRICH DE FRIES GMBH,DUESSELDORF
6398,,,FRIES & CO,FAHRZEUGBAU FRIES GMBH & CO,WIELENBACH UEB.WEILHEIM
6399,,,"SCHAEFER,F.",F.SCHAEFER,DETMOLD
6400,,,"VOGT,LEMGO",VOGT,LEMGO
6401,W09,H93,HENRICHS,PETER U. PAUL HENRICHS GMBH U. CO. KG (ANHAENGER),SCHLOSS-HOLTE-STUKENBROCK
6402,,,NEUMANN,NEUMANN,KERVENHEIM UEB.KEVELAER
6403,,,DAPA,DAPA GMBH ANHAENGER-U.KIPPERBAU,FLENSBURG
6404,W09,F66,"FISCHER,NORBERT",Norbert Fischer Fahrzeugbau e.K.,Dortmund
6405,,,"KLEINZ,BERNHARD",FRANZ KLEINZ,BAD KREUZNACH-WINZENHEIM
6405,,,KLEINZ.BERNHARD,BERNHARD KLEINZ,BAD KREUZNACH-WINZENHEIM
6406,,,INDUST.LUEBECK-IWL,INDUSTRIEWERKE LUEBECK GMBH & CO,LUEBECK
6407,,,FERIELA-CARAVAN,FERIELA-CARAVAN WOHNWAGENBAU (ANHAENGER),MARKTSCHORGAST/OBERFRANKEN
6408,,,"HAAS,HEINRICH",HEINRICH HAAS FAHRZEUGBAU,BINGEN-DIETERSHEIM
6409,W09,M46,MOESSLEIN U.SOEHNE,E.U.D.MOESSLEIN GBR FAHRZEUGBAU (ANHAENGER),GEROLZHOFEN
6410,,,RUNTEMUND,RUNTEMUND,HERTEN/WESTFALEN
6411,,,KAMAG,KAMAG GMBH & CO,ULM
6412,W09,J15,JENSEN,PETER JENSEN MASCHINENFABRIK GMBH & CO KG(ANHAENGER),MAASBUELL
6413,,,STREICH,STREICH,NUERNBERG
6414,W09,S24,SOMMER,SOMMER GmbH,Laucha an der Unstrut
