KBA,WMI1,WMI2,Name,FullName,Location
9934,WSS,,SUN CYCLE,SUN CYCLE (SONST. FAHRZEUGE),MUENCHEN
9935,W09,KB1,KRAUSER,KRAUSER MOTORRADTECHNIK UND TOUREN (KRAFTRAEDER),MERING
9936,W09,T50,TETEO,TETEO GMBH (ANHAENGER),CHEMNITZ
9937,W09,B93,BELL EQUIPMENT (D),BELL EQUIPMENT GMBH (ANHAENGER),ALSFELD
9938,W09,W78,WIENHOFF,WIENHOFF GMBH (ANHAENGER),BAWINKEL
9939,W09,SE6,Jochen Sommer,Jochen Sommer,Geyern
9940,W09,G61,GESSNER,GESSNER FAHRZEUGBAU GMBH (ANHAENGER),KLIPPHAUSEN
9941,W09,018,OWR,OWR GmbH,ELZTAL
9942,WLG,,"LINDE,WIESBADEN",LINDE AG (ZUGMASCHINEN),WIESBADEN
9943,W0C,,OPEN CONCEPTS,OPEN CONCEPTS GMBH (KRAFTRAEDER),WEDEL
9944,W09,D37,DEMMLER,JOHANN DEMMLER KG (ANHAENGER),WERTINGEN-GERATSHOFEN
9945,W09,W79,WUELLENER,WUELLENER FAHRZEUGWERKE GMBH & CO KG (ANHAENGER),VREDEN
9946,W09,KB2,"KOTSCHENREUTHER, JAH.",Kotschenreuther Fahrzeugbau GmbH & Co KG,Jahnsdorf
9946,W09,008,"KOTSCHENREUTHER,JAH.",KOTSCHENREUTHER FAHRZEUGBAU GMBH & CO KG,JAHNSDORF
9947,W09,W80,Irion & Wachholz,Irion & Wachholz OHG,Mühlheim
9948,W09,WB3,H+P TRADING,H+P TRADING GMBH (KRAFTRAEDER),PLANKSTADT
9949,W09,A08,AHLMANN-BAUMASCHINEN,AHLMANN BAUMASCHINEN GMBH,BUEDELSDORF
9950,W09,G29,GLOGGER-FAHRZEUGBAU,GLOGGER FAHRZEUGBAU GMBH (ANHAENGER),86165 AUGSBURG
9951,W09,KB3,KAMAG,KAMAG TRANSPORTTECHNIK GMBH (NUTZFAHRZEUGE),ULM
9952,W0D,,OBERMAIER TRAILERT.,OBERMAIER TRAILERTECHNIK GMBH (ANHAENGER),EGELN-NORD
9953,W09,E36,E.-ATV RACING,E.-ATV RACING GMBH (KRAFTRAEDER),NEUKIRCHEN-VLUYN
9954,W09,SE8,SAXAS,SAXAS Nutzfahrzeuge Werdau GmbH,Werdau
9955,WML,,MODACC,MODACC SCOOTER LIFE (KRAFTRAEDER),LEIPZIG
9956,WFE,,FIBERLINE,FIBERLINE SPORTBOOT GMBH (ANHAENGER),FLACHSLANDEN
9957,WMR,,Moser,Moser Verkaufsfahrzeuge GmbH,Meisenheim
9958,WAA,,"AUWAERTER,FAHRZEUGW.",AUWAERTER FAHRZEUGWERK GMBH(ANHAENGER),SIMMOZHEIM
9959,W09,R46,REITEMEYER,ARNOLD REITEMEYER FAHRZEUGBAU GMBH (ANHAENGER),BAD-DRIBURG-HORSTE
9960,WB2,,BLYSS,Blyss Transporttechnik GmbH,Seesen
9960,W09,B94,BLYSS,Blyss Transporttechnik GmbH,Seesen
9961,W09,J34,JETCAR,JETCAR ZUKUNFTSFAHRZEUG GMBH (PKW),NIETWERDER
9962,WDM,,DRESEL MCT,DRESEL MOTORCYCLE GMBH & CO KG (KRAFTRAEDER),HOECHSTADT/AISCH
9963,,,MMB BLOMBERG,MMB BLOMBERG GMBH & CO KG (ANHAENGER),BLOMBERG
9964,W09,B95,BEYER,BEYER GMBH (ANHAENGER),VIERNHEIM
9965,,,TAMCO,"TAMCO FAHRZEUGBAU GMBH (ANHAENGER,SONSTIGE)",SCHEESSEL
9966,W09,C25,CRD,CRD GMBH & CO KG (PKW),BOTTROP
9967,WCR,,CARTHAGO,Carthago Reisemobilbau GmbH,Aulendorf
9968,,,VOLVO CONSTRUCTION,Volvo Construction Equipment Germany GmbH,Konz-Könen
9969,WTX,,Euro Trailer,Euro Trailer GmbH,Egeln
9970,W09,Z13,ZENZ,"ZENZ LANDTECHNIK GMBH (ANHAENGER,ARBEITSMASCH.)",GARS
