KBA,WMI1,WMI2,Name,FullName,Location
1094,1B9,285,Boss Hoss(USA),Boss Hoss Cycles Inc.,Dyersburg(USA)
1095,,,PACIFIC (USA),C.PACIFIC CAR AND FONNDRY CO,USA
1096,,,POINTER (USA),POINTER WILLAMETTE CO DRE,PORTLAND/USA
1097,,,PRESSED STEEL (USA),PRESSED STEEL CAR CO,USA
1098,,,HOBART BROTHERS(USA),THE HOBART BROTHERS CO,USA
1099,,,REO (USA),REO LKW-FABRIK,LANSING (MICHIGAN)/USA
1100,,,ROEHLK SPRING (USA),ROEHLK SPRING AND BODY CO,USA
1101,,,SPERRY GYROSC.(USA),SPERRY GYROSCOPE CO,USA
1102,VM4,,CHEREAU (F),JEAN CHEREAU S.A.S. (ANHÄNGER),DUCEY/FRANKREICH
1103,,,ROGERS BROTHERS(USA),ROGERS BROTHERS CORP,USA
1104,,,TRAIL MOBIL (USA),THE TRAIL MOBIL CO,USA
1105,W09,A34,ANSCHAU TECHNIK,ANSCHAU TECHNIK GMBH,WALDLAUBERSHEIM
1106,,,THAMSEN (USA),THAMSEN HOUSTEN CO,USA
1107,,,WARD LA FRANCE (USA),WARD LA FRANCE LKW-U.OMNIBUSFABRIK,"ELMIRA H,NEW YORK/USA"
1108,WNR,,NOVOTRUCK,NOVOTRUCK TEMPERATURE CONTR. VEH. & PATRS,VERSMOLD
1109,1WA,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WB,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WD,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WE,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WH,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WJ,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WK,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WL,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WM,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WN,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WP,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WS,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WU,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WX,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,1WY,,WHITE MOTOR (USA),WHITE MOTOR CORP,EASTLAKE (OHIO)/USA
1109,,,WHITE MOTOR (USA),WHITE MOTOR CORPORATION,CLEVELAND (OHIO)/USA
1110,,,WINTER-WEISS (USA),WINTER-WEISS CO,USA
1111,1ML,,MILLER (USA),MILLER TRAILERS INC (TRAILER),BRADENTOR (FLORIDA)/USA
1112,,,MUNICIPAL (USA),MUNICIPAL SUPPLY CO,SOUTH BEND (INDIANA)/USA
1113,XTA,,AVTOVAZ (RUS),PAO AVTOVAZ,Togliatti/Russland
1113,XTA,,AVTOVAZ (RUS),PJSC AVTOVAZ,Togliatti/Russland
1113,X7G,,AVTOVAZ (RUS),AVTOVAZ,Togliatti/Russland
1113,X9L,,AVTOVAZ (RUS),AVTOVAZ,TOGLIATTI (RUS)
1114,,,TRAILER CARGO (USA),TRAILER CARGO,USA
1115,,,NORTHROP (USA),NORTHROP CORP,ANAHEIM (CALIFORNIA)/USA
1116,,,UTICA-BEND (USA),UTICA-BEND CORP,MICHIGAN/USA
1117,,,RADIOPLANE (USA),RADIOPLANE,USA
1118,,,ALLIS-CHALMERS (USA),ALLIS-CHALMERS SCHLEPPERBAU,MILWAUKEE/USA
1119,,,STANDARD-STEEL (USA),STANDARD-STEEL,USA
1120,,,STEVENS (USA),MANUFACTURED BY STEVENS MFG CO,EBENSBURG (PENNSYLVANIA)/USA
1121,,,CATERPILLAR (USA),Caterpillar Inc.,Peoria Illinois/USA
1122,,,DUNBAR REPPLE (USA),DUNBAR REPPLE INC,GENOWA/USA
1123,1H1,,FRUEHAUF (USA),FRUEHAUF CORPORATION (RESERVE),DETROIT (MICHIGAN)/USA
1123,1H2,,FRUEHAUF (USA),FRUEHAUF CORP (FRUEHAUF/TRAILER),DETROIT (MICHIGAN)/USA
1123,1H3,,FRUEHAUF (USA),FRUEHAUF CORP (FRUEHAUF/BRANCH BUILT TRAILER),DETROIT (MICHIGAN)/USA
1123,1H4,,FRUEHAUF (USA),FRUEHAUF CORP (LIQUID & BULK TANK/TRAILER),DETROIT (MICHIGAN)/USA
1123,1H5,,FRUEHAUF (USA),FRUEHAUF CORP (HOBBS/TRAILER),DETROIT (MICHIGAN)/USA
1123,1H6,,FRUEHAUF (USA),FRUEHAUF CORP (RES.& DEV./TRAILER),DETROIT (MICHIGAN)/USA
1123,1H7,,FRUEHAUF (USA),FRUEHAUF CORP (GOVERNMENT SERVICES/TRAILER),DETROIT (MICHIGAN)/USA
1123,1H8,,FRUEHAUF (USA),FRUEHAUF CORP (RESERVE),DETROIT (MICHIGAN)/USA
1124,,,GRAMM TRAILER (USA),GRAMM TRAILER COMP,OHIO/USA
1125,,,SOUTHWEST TRUCK(USA),"SOUTHWEST TRUCK, BODY CO",USA
1126,,,SEAMAN-ANDWALL (USA),SEAMAN-ANDWALL CORP,USA
