KBA,WMI1,WMI2,Name,FullName,Location
6867,W09,B66,BOEHNLEIN.ADOLF,ADOLF BOEHNLEIN SCHLOSSEREI U.FAHRZEUGBAU(ANHAENGER),RECKENDORF-OBERMANNDORF
6868,,,SCHAEFF,SCHAEFF-TEREX GMBH & CO. KG (ARBEITSMASCHINEN),LANGENBURG
6869,,,GLYCO STRASSENWALZEN,GLYCO STRASSENWALZEN GMBH,ESSEN
6870,,,KREIDLER VAN VEEN,KREIDLER VAN VEEN SPORT GMBH,DUDERSTADT
6871,W09,K98,KNIES,KNIES NUTZFAHRZEUGE FAHRZEUGBAU GMBH&CO.KG (ANH.),BOESEL
6872,,,AME,AME GMBH,SCHAUENBURG B.KASSEL
6873,,,GABLER,FAHRZEUG-U.MASCHINENBAU GABLER GMBH U.CO KG,WESEL
6874,W09,S56,"STOLL,ALFRED",STOLL GMBH MASCHINENBAU (ANHAENGER),KIRCHBERG-GAGGSTATT
6875,WFB,,FELDBINDER,FELDBINDER SPEZIALFAHRZEUGWERK GMBH (ANHAENGER),WINSEN/LUHE
6875,W09,F07,FELDBINDER,FELDBINDER SPEZIALFAHRZEUGWERK GMBH (ANHAENGER),WINSEN/LUHE
6876,,,RHEINMETALL,RHEINMETALL GMBH,DUESSELDORF
6877,,,JENBACHER WERKE,JENBACHER WERKE VERTRIEBSGESELLSCHAFT MBH(ANHAENGER),GERLINGEN
6878,,,WOCKEN,WOCKEN INDUSTRIEBEDARF KG (ANHAENGER),MEPPEN
6879,,,SUELZER,SUELZER-FAHRZEUGBAU,KOENIGSBRUNN
6880,W09,K26,KIESLING,KIESLING FAHRZEUGBAU GMBH (ANHAENGER),DORNSTADT-TOMERDINGEN
6881,W09,K01,KRUG-CARAVAN,KRUG CARAVAN-METALLBAU GMBH,LAUINGEN/DONAU
6882,W09,002,OSTALB,OSTALB GMBH (ANHAENGER),DONZDORF
6883,,,SCHUCHERT&BRAEUNING,SCHUCHERT & BRAEUNING KG TRANSPORT-U.FOERDERGERAETE,WOLFENBUETTEL
6884,,,THYSSEN,THYSSEN MASCHINENBAU (SONDERFZ.),WITTEN 6/WESTFALEN
6885,W09,R01,RAU MOTORRADTECHNIK,RAU MOTORRADTECHNIK GMBH,GROSSBETTLINGEN
6886,,,"BAUMANN,R.",R.BAUMANN + CO GABELSTAPLERWERK,BUEHLERTAL
6887,W09,A02,ANDERSSON MOT.SPORT,ANDERSSON MOTOR SPORT GMBH (PERSONENWAGEN),KOELN
6888,W09,P01,PEKAZETT,PEKAZETT BAUMASCHINEN GMBH (ANHAENGER),ZWEIBRUECKEN
6889,,,REISSL,LORENZ REISSL GMBH & CO KG LANDTECHNIK,NEUMARKT-ST.VEIT
6890,W09,E01,ERHARDT,KAROSSERIE U.FAHRZEUGBAU ERHARDT GMBH (ANHAENGER),STUTTGART
6891,,,BIRKE,GUNDOLF BIRKE (KRAFTRAEDER),HANNOVER
6892,W09,K03,"KAISER,ASCHEBERG",KAISER KG KRAFTFAHRZEUGE (ANHAENGER),ASCHEBERG
6893,W09,L02,LAHRS,HERMANN LAHRS KG (ANHAENGER),HAMBURG
6894,W09,M29,MAFA,MAFA MASCHINEN UND FAHRZEUGE GMBH (ANHAENGER),VIPPACHEDELHAUSEN
6895,W09,F02,FZ-MASCH-STAHLB-FMS,FMS FAHRZEUG-MASCHINENBAU-STAHLBAU GMBH (ANHAENGER),HERNE -SODINGEN
6896,W09,B06,B&W TRANSP-SYST.-IWT,B & W TRANSPORTSYSTEME GMBH (ANHAENGER),LUEBECK
6897,W09,R03,RUDOLPH & SOHN,KARL RUDOLPH & SOHN (ANHAENGER),SALZGITTER-HEERTE
6898,WJS,,ISARTALER,ISARTALER SCHRAUBENKOMPRESSOREN GMBH (ANHAENGER),GERETSRIED
6899,W09,W03,WEHL,ATLAS V.D.WEHL GMBH (ANHAENGER U.ARBEITSMASCHINEN),LAUENBRUECK
6900,WPA,,PUTZ-U.FOERDERT.-PFT,P.F.T.PUTZ-U.FOERDERTECHNIK GMBH (ANHAENGER),IPHOFEN
6900,W09,P03,PUTZ-U.FOERDERT.-PFT,P.F.T.PUTZ-U.FOERDERTECHNIK GMBH (ANHAENGER),IPHOFEN
6901,W09,K07,KRUELL,KRUELL FAHRZEUGBAU GMBH (ANHAENGER),NEUSS
6902,W09,V02,VERSICK,E.VERSICK NUTZFAHRZEUGE (SATTELANHAENGER),ZUELPICH
6903,W09,C02,CHRISTMANN,RICHARD CHRISTMANN FAHRZEUGBAU (ANHAENGER),BIEDENKOPF-WALLAU
6904,W09,D03,DUENSCHEDE,KAROSSE.ERNST DUENSCHEDE GMBH & CO KG(LKW/ANHAENGER),MESCHEDE (SAUERLAND)
6905,W09,K08,KRUPP-MAK,KRUPP MAK MASCHINENBAU GMBH,KIEL
6906,W09,T01,TWG WEILER,TWG WEILER GMBH FAHRZEUGBAU-REPARATURWERK (ANHAENGER),PLETTENBERG
6907,,,"ECKART,JOSEF",JOSEF ECKART & SOEHNE (ANHAENGER),SCHAUFLING
6908,W09,F03,FECHT,DIETRICH FECHT KFZ-FABRIK (DREIRAEDER),SIEGEN
6908,W09,F03,FECHT,GMBH KFZ-FABRIK (DREIRAEDER/ANHAENGER),RUPPICHTEROTH
6909,W09,G06,GEROH,GEROH GMBH (ANHAENGER),WAISCHENFELD
6910,W09,C03,CLAUSING,CLAUSING GMBH & CO KG FZ-BAU(NUTZFZ.ZUGFZ.ANHAENGER),MINDEN/WESTFALEN
