KBA,WMI1,WMI2,Name,FullName,Location
1856,WGE,,Germania Automotive,Germania Automotive GmbH,Hamburg
1856,W09,G78,Germania Automotive,Germania Automotive GmbH,Hamburg
1857,W09,R64,ROHR Spezialfahrzeuge,ROHR Spezialfahrzeuge GmbH,Straubing
1858,SA9,378,Terex (UK),Terex GB Ltd,Dungannon/Vereinigtes Königreich
1859,W09,A74,AWB,AWB Auto Document Services GmbH,Aachen
1860,WUA,,Audi Sport,Audi Sport GmbH,Neckarsulm
1860,WU1,,Audi Sport,Audi Sport GmbH,Neckarsulm
1861,VLG,,AIXAM (F),AIXAM MEGA,AIX LES BAINS CEDEX/Frankreich
1862,ZA9,M09,Italdesign-Giugiaro (I),Italdesign-Giugiaro S.p.A.,Turin/Italien
1863,LXV,,Beijing Borgward (RC),"Beijing Borgward Automotive Co., Ltd.",Beijing/China
1864,VMU,,NEMAUSUS (F),NEMAUSUS MOTOS S.A.R.L.,Nimes/Frankreich
1865,L5Y,,Taizhou Zhongneng (RC),"Taizhou Zhongneng Motorcycle Co., Ltd.","Taizhou City, Zhejiang Province/China"
1866,WH6,,Hammer,Hammer International GmbH,Ammerbuch Altingen
1867,W09,N28,Nevoigt,Nevoigt GmbH Fahrzeugbau & Service,Bielefeld
1868,W09,T62,Eggersmann (D),Eggersmann GmbH,Halle
1869,SPK,,KOBER,ALOIS KOBER GmbH,Kötz
1869,W09,KD2,KOBER,ALOIS KOBER GmbH,Kötz
1870,W09,SH3,SCHENK Fahrzeugbau,SCHENK Fahrzeugbau GmbH,Polch
1871,XK9,H04,Antoniadis & SIA (GR),Antonios Antoniadis & SIA O.E.,Thessaloniki/Griechenland
1872,,,Hydrema (DK),A/S Hydrema Produktion,Stövring/Dänemark
1873,VDL,,Lambretta (A),Lambretta GmbH,Gedersdorf/Austria
1874,W09,U13,US66,US66 Unternehmergesellschaft (haftungsbeschränkt),Altshausen
1875,W09,F72,Farya,Farya Baumaschinen Fabrik GmbH,Braunschweig
1876,W09,A36,A+T Nutzfahrzeuge,A+T Nutzfahrzeuge GmbH,Garrel
1877,VA9,B37,Bauer (A),Röhren- und Pumpenwerk Bauer GmbH,Voitsberg/Austria
1878,,,MASCHIO FIENAGIONE (I),MASCHIO FIENAGIONE S.P.A.,Cremona/Italien
1879,W09,U14,Quarta,Quarta Anhängercenter GmbH,Hürth
1880,WK6,,Kverneland Group Soest,Kverneland Group Soest GmbH,Soest
1881,XK9,A61,REPLICAR HELLAS (GR),Replicar Hellas Car Manufacturing Company,Katerini/Griechenland
1882,W09,V22,VL Outdoor,VL Outdoor Karlstein GmbH,Karlstein
1883,ZA9,M27,Dallara (I),Fabbrica Dallara Srl,Varano de' Melegari/Italien
1884,XX3,,Ujet (L),Ujet Manufacturing S.a.r.l.,Leudelange/Luxemburg
1885,LFF,,Taizhou Wangye (RC),"Taizhou Wangye Motorcycle Co., Ltd.","Taizhou City, Zhejiang Province/China"
1886,W09,G79,GT Automotive,GT Automotive GmbH & Co. KG,Euskirchen
1887,WGM,,Germanum,Germanum GmbH,Villingen-Schwenningen
1888,,,TTP Automotive,TTP Automotive GmbH Turbo Technik Pietz,Kolbermoor
1889,VR1,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1889,VR3,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1889,VR7,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1889,VXK,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1889,VX4,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1889,VX5,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1889,VYF,,PSA Automobiles (F),PSA Automobiles SA,Poissy/Frankreich
1890,PF2,,Golden Lion (SGP),Golden Lion Holdings Pte. Ltd.,Singapur
1891,WLY,,AGCO Waldstetten,AGCO Waldstetten GmbH,Waldstetten
1892,YA9,318,Van den Berghe (B),Rijwielhandel Gebroeders Van den Berghe NV,Sint-Niklas/Belgien
1893,,,DEUTZ-FAHR (RC),"DEUTZ-FAHR Machinery Co., Ltd.","Linyi City, Shandong/China"
1894,W09,HD1,HP Velotechnik,HP Velotechnik Gmbh & Co. KG,Kriftel
1895,W09,A69,Schwarte Group,Schwarte Group GmbH,Emsdetten
1896,,,Always (VN),Always Co. Ltd.,Ho Chi Minh City/Vietnam
