KBA,WMI1,WMI2,Name,FullName,Location
3103,VFW,,RAPIDO-CARAVANES (F),RAPIDO-CARAVANES (CARAVANES),MAYENNE/FRANKREICH
3104,VH7,,MACO-MEUDON (F),MACO-MEUDON SA (REMORQUES),SAINT-PRIEST/FRANKREICH
3105,VH6,,FORGES ATEL.NAVE (F),FORGES ET ATELIERS DE LA NAVE (REMORQUES ROUTIERES),BETHUNE/FRANKREICH
3106,,,HESSTON (F),HESSTON BRAUD SA (SPECIAL PURPOSE VEHICLE),COEX/FRANKREICH
3107,VG2,,STERCKEMAN (F),CARAVANES STERCKEMAN SA (CARAVANES),SECLIN/FRANKREICH
3108,,,D.P.H.(F),D.P.H. SA (SPECIAL PURPOSE VEHICLE),BELLEY/FRANKREICH
3109,,,ROCA (F),ROCA (MOTORCYCLE),FONTENAY SOUS BOIS/FRANKREICH
3110,VF5,,UNIC (F),UNIC SA (VEHICULES UTILITAIRES),TRAPPES/FRANKREICH
3111,VF9,046,POTAIN POCLAIN (F),POTAIN POCLAIN MATERIEL,MONTCEAU-LES-MINES/FRANKREICH
3111,VHX,,POTAIN POCLAIN (F),POTAIN POCLAIN MATERIEL,MONTCEAU-LES-MINES/FRANKREICH
3111,,,POTAIN POCLAIN (F),SIEHE PPM,
3112,,,MOREL (F),MOREL (LAWN SWEEPER),ROUEN/FRANKREICH
3113,VFG,,SIR (F),SOCIETE INDUSTRIELLE DE ROCHEBONNE (SIR) (CARAVAN),TOURNON/FRANKREICH
3113,VG2,,SIR (F),SOCIETE INDUSTRIELLE DE ROCHEBONNE (SIR) (CARAVAN),TOURNON/FRANKREICH
3114,,,FENWICK (F),FENWICK MANUFAKTION (FORK LIFT TRUCK),ST.QUINN/FRANKREICH
3115,,,J I CASE (F),J I CASE SA,PARIS/FRANKREICH
3116,VG2,,COMP.INTERNAT.(F),COMPAGNIE INTERNATIONALE DES VEHIC.DE LOISIR (CARAVAN,SECLIN/FRANKREICH
3117,,,CASE POCLAIN (F),CASE POCLAIN SA (SPECIAL PURPOSE VEHICLE),LE PLESSIS BELLEVILLE/FRANKREICH
3118,VGA,,PEUGEOT MOTOCYCL.(F),Peugeot Motocycles,Valentigney Cedex/Frankreich
3118,VGA,,PEUGEOT MOTOCYCL.(F),PEUGEOT MOTOCYCLES SA,BEAULIEU-MANDEURE/FRANKREICH
3118,,,PEUGEOT MOTOCYCL.(F),PEUGEOT MOTOCYCLES SA,BEAULIEU-MANDEURE/FRANKREICH
3119,VF9,720,SIDE BIKE (F),SIDE BIKE (MOTORCYCLE),IZEAUX/FRANKREICH
3119,VRL,,SN SIDE-BIKE (F),SN SIDE-BIKE,Colombe/Frankreich
3120,VF9,284,LUTZ (F),ETS MARCEL LUTZ SA,INGWILLER/FRANKREICH
3121,VF9,253,MAM-STRAGER (F),"MAM-STRAGER (COMMERCIAL VEHICLE, TRAILER)",TRAPPES/FRANKREICH
3122,VF9,083,NOVAL (F),NOVAL PORTAFLOT SA (TRAILER),REUILLY/FRANKREICH
3123,,,GREENLAND (F),GREENLAND FRANCE SA (TRAILER),S'JEAN DE BRAYE/FRANKREICH
3124,VF9,365,LAMBERET (F),LAMBERET VEHICULES FRIGORIFIQUES SA (TRAILER),SAINT-CYR-SUR-MENTHON/FRANKREICH
3124,VM3,,LAMBERET (F),LAMBERET VEHICULES FRIGORIFIQUES SA (TRAILER),SAINT-CYR-SUR-MENTHON/FRANKREICH
3125,,,FOLLIS (F),ETS.FOLLIS,LYON (RHONE)/FRANKREICH
3126,,,MANURHIN (F),MANUFACTURES DE MASCHINES DU HAUT-RHIN,MULHOUSE-BOARTZWILLER/FRANKREICH
3127,,,CHAUSSON (F),S.A.USINES CHAUSSON,ASNIERES (SEINE)/FRANKREICH
3128,VF8,,MATRA (F),MATRA AUTOMOBILE SA (PASSENGER CAR),PARIS/FRANKREICH
3129,,,SAMBRON (F),FDI-SAMBRON,LE BOUSCAT-BORDEAUX/FRANKREICH
3130,VF9,094,MECANO-GALVA (F),MECANO-GALVA SA (TRAILER),VRIGNE-AUX-BOIS/FRANKREICH
3131,,,CLAAS (F),USINES CLAAS FRANCE S.A. (TRAILER),WOIPPY/FRANKREICH
3132,VLU,,SCANIA PRODUCTION(F),SCANIA PRODUCTION SA (TRUCK),ANGERS/FRANKREICH
3133,VLA,,LEBOULCH (F),SOCIETE NOUVELLE LEBOULCH (ANHAENGER),LA VIEILLE LYRE/FRANKREICH
3134,VFK,,GENERAL TRAILERS (F),GENERAL TRAILERS (REMORQUES),AUXERRE/FRANKREICH
3134,VFN,,GENERAL TRAILERS (F),GENERAL TRAILERS (REMORQUES),LUNEVILLE/FRANKREICH
3134,VH1,,GENERAL TRAILERS (F),GENERAL TRAILERS (REMORQUES),HENIN/LIEVIN/FRANKREICH
3134,VNG,,GENERAL TRAILERS (F),GENERAL TRAILERS (REMORQUES),NORT SUR ERDRE/FRANKREICH
3135,VNE,,IRISBUS (F),IRISBUS FRANCE,VENISSIEUX/FRANKREICH
3136,,,MANITOU (F),MANITOU BF S.A. (ARBEITSMASCHINEN),ANCENIS/FRANKREICH
3137,VN4,,VOXAN (F),VOXAN (MOTORCYCLE),ISSOIRE/FRANKREICH
3138,VJR,,LIGIER (F),LIGIER GROUP,ABREST/FRANKREICH
3139,VMX,,HRD INDUSTRIE (F),HRD INDUSTRIE (KRAFTRAEDER),SAINT JUERY/FRANKREICH
3140,,,MECALAC (F),MECALAC S.A. (ARBREITSMASCHINEN),ANNECY-LE-VIEUX/FRANKREICH
3141,VF9,741,STARTRIKE (F),STARTRIKE S.A. (3-RAEDRIGES KLEINKRAFTRAD),LE MANS/FRANKREICH
3142,VFE,,TRIGANO VDL (F),TRIGANO AVENUE DE ROCHEBONNE,TOURNON CEDEX/FRANKREICH
3142,VFG,,TRIGANO VDL (F),TRIGANO AVENUE DE ROCHEBONNE (TRAILER),TOURNON CEDEX/FRANKREICH
3142,VG2,,TRIGANO VDL (F),TRIGANO AVENUE DE ROCHEBONNE ( TRAILER ),TOURNON CEDEX/FRANKREICH
