KBA,WMI1,WMI2,Name,FullName,Location
1234,LE8,,Guangzhou Pa.Huanan (RC),Guangzhou Panyu Huanan Motors Group Co.Ltd.,Lanhe Town Panyu Guangzhou
1235,LFH,,Chongqing Lifan (RC),"Chongqing Lifan Industry (Group) Co.,Ltd",Chongqing (RC)
1235,LF3,,Chongqing Lifan (RC),"Chongqing Lifan Industry (Group) Co.,Ltd",Chongqing (RC)
1236,,,VMTZ (RUS),VMTZ (WERK),Wladimir (RUS)
1237,W09,M51,AH MTH,Autohaus MTH GmbH,Parchim
1238,W09,L14,Linnhoff & Henne,Linnhoff & Henne GmbH & Co.KG,Stadtoldendorf
1239,WBB,,NFC,NFC Nutzfahrzeugcenter Oder-Spree GmbH,Eisenhüttenstadt
1240,W09,HB5,HEIZOMAT,HEIZOMAT-Gerätebau+Energiesysteme GmbH,Gunzenhausen
1241,RH9,002,Forsen Motor (RC),Forsen Motor Corporation,Taipei/Taiwan
1242,WTS,,Westfalia-Trailer-Systems,Westfalia-Trailer-Systems GmbH i.G.,Obergoseln
1243,W09,R48,RCB,RCB Fahrzeug GmbH,Edling
1244,,,Volvo Constr.Equipment(S),"Volvo Construction Equipment AB, Haulers and Loaders Bus.Lin","Eskilstuna, Schweden"
1245,W09,M90,Michalak,Michalak Design GmbH & Co.KG,Mainz
1246,VMD,,TRIGANO REMORQUES (F),TRIGANO REMORQUES S.A.S.,REUILLY/FRANKREICH
1247,VAD,,Arctic Cat (A),Arctic Cat GmbH,St. Johann/Österreich
1248,WMP,,M&V,"M&V GmbH ""Siegmar"" Metallbearbeitung",Jahnsdorf
1249,LB4,,ChongQing YinXiang (RC),"ChongQing YinXiang Motorcycle (Group) Co., Ltd.",ChongQing/China
1250,W09,Z14,ZANDT,ZANDT cargo Inh.Manfred Zandt,Tirschenreuth
1251,LHN,,Ningbo Harvest (RC),"Ningbo Harvest Mechanical & Electrical Co., Ltd.","Longguan, Ningbo/China"
1252,SGN,,Sandhurst (UK),Sandhurst Manufacturing Co.Ltd.,Lincs/Vereinigtes Königreich
1253,W09,Z15,Zeppelin,Zeppelin Baumaschinen GmbH,Garching
1254,LFF,,Zhejiang Wangye (RC),"Zhejiang Taizhou Wangye Power Co.,Ltd.","Taizhou City, Zhejiang Province/China"
1255,W09,B91,FVG,FVG GmbH & Co. KG,Wildeshausen
1256,W09,HB6,HIEBENTHAL,HIEBENTHAL NUTZFAHRZEUGE,ESCHWEGE
1257,W09,P56,Pfanzelt,Pfanzelt Maschinenbau GmbH,Rettenbach a.A.
1258,LG0,,Zhejiang Shenmao (RC),"Zhejiang Shenmao Appliance Co., Ltd.","Yongkang, Zhejiang/China"
1258,L8P,,Zhejiang Shenmao (RC),"Zhejiang Shenmao Appliance Co., Ltd.","Yongkang, Zhejiang/China"
1259,WCC,,Capron,Capron GmbH,Neustadt/Sachsen
1260,U5Y,,KIA Motors (SK),KIA Motors Slovakia s.r.o.,Teplicka nad Vahom/Slovak Republic
1260,U6Y,,KIA Motors (SK),KIA Motors Slovakia s.r.o.,Teplicka nad Vahom/Slovak Republic
1261,,,Terex Langenburg,Terex GmbH,Langenburg
1262,,,Kverneland (NL),Kverneland Group Nieuw-Vennep BV,Nieuw-Vennep/Niederlande
1263,WVW,,VOLVO (D),Volvo Car Germany GmbH,Köln
1264,VA6,,AL-KO Kober (A),AL-KO Kober GmbH,Obdach/Österreich
1265,VME,,JLFD (F),JLFD Production,Montcaret/Frankreich
1266,W09,G12,Manitowoc (D),Manitowoc Crane Group Germany GmbH,Wilhelmshaven
1267,,,John Deere (NL),John Deere Fabriek Horst BV.,Horst/Niederlande
1268,,,Neuson (A),Wacker Neuson Linz GmbH,Hörsching/Österreich
1269,WGS,,Golf-e-shorty-Iglauer&W.,Iglauer & Wiedenfeld GbR,Aachen
1270,W09,F64,Fornasari,Fornasari Car Deutschland GmbH,Kolbermoor
1271,,,TTP,TTP Turbo Tuning Pietz GmbH,Kolbermoor
1272,WHK,,HorseArt,HorseArt GmbH & Co. KG,Markranstädt
1273,LBB,,Zhejiang QianJiang (RC),"Zhejiang QianJiang Motor Co., Ltd.",Wenling/China
1274,W09,019,OSTMANN,Ostmann Fahrzeugbau GmbH,Bissendorf-Schledehausen
1275,WHJ,,Hudson Bike,Hudson Bike GmbH,Nürnberg
1276,SFY,,BRENDON (UK),BRENDON LTD,Wiveliscombe/Vereinigtes Königreich
1277,WKX,,Karmann Mobil (D),Karmann Mobil Vertriebs GmbH,Sprendlingen
