KBA,WMI1,WMI2,Name,FullName,Location
5048,VNK,,TOYOTA MEM (B),TOYOTA MOTOR ENGINEERING & MAN. (PERSONENKRAFTWAGEN),BRUXELLES/BELGIEN
5049,,,CNH (B),CNH Industrial Belgium N.V.,Zedelgem/Belgien
5050,YC5,,JLG MANUFACT. (B),JLG MANUFACT. EUROPE BVBA (SPECIAL PURPOSE VEHICLE),MAASMECHELEN/BELGIEN
5051,NMO,,FORD (TR),FORD OTOMOTIV SANAYI A.S.,ISTANBUL/TUERKEI
5980,NMB,,MERCEDES-B.TUERK(TR),Mercedes Benz Türk A.S.,Esenyurt-Istanbul/Türkei
5981,NMZ,,KANUNI (TR),KOMBASSAN KANUNI MZ MOTOR INC. (MOTORCYCLE),ISTANBUL/TUERKEI
5982,NLT,,TEMSA (TR),TEMSA SKODA SABANCI ULASIM,Adana/Türkei
5983,NMH,,HONDA (TR),HONDA ANADOLU MOTOSIKLET (MOTORCYCLE),ISTANBUL/TUERKEI
5984,NLH,,HYUNDAI (TR),HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET A.S.,"Kozyatagi,Istanbul/Türkei"
5984,NLJ,,HYUNDAI (TR),HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET A.S.,"Kozyatagi,Istanbul/Türkei"
5985,NNA,,ANADOLU ISUZU (TR),Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S.,Cayirova-Kocaeli/Türkei
6001,VAM,,STEYR-PUCH (A),STEYR-DAIMLER-PUCH AG (MOTORCYCLE),"WIEN,GRAZ/OESTERREICH"
6002,,,SAURER (A),OESTERR.SAURERWERKE AG,WIEN/OESTERREICH
6003,VAB,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG (BUSSES),"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,VAF,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG (FORESTRY MACHINERY),"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,VAG,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG (MULTI-PURPOSE-CARS),"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,VAL,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG (AGRICULTURAL MACHINERY),"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,VAM,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG,"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,VAN,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG (TRUCKS),"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,VBA,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG,"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6003,,,STEYR-D-PUCH (A),STEYR-DAIMLER-PUCH AG NUTZFAHRZEUGE,"WIEN,STEYR U.ST.VALENTIN/OESTERREICH"
6004,VAN,,STEYR (A),MAN STEYR AG,STEYR/OESTERREICH
6004,,,STEYR (A),MAN STEYR AG,"WIEN,ST.VALENTIN/OESTERREICH"
6005,,,CASE STEYR (A),CASE STEYR LANDMASCHINENTECHNIK GMBH (TRACTOR),ST.VALENTIN/OESTERREICH
6006,,,STEYR-FIAT (A),STEYER-FIAT,STEYR/OESTERREICH
6007,VBK,,KTM (A),KTM AG,Mattighofen/Österreich
6009,VBB,,BRANTNER (A),HANS BRANTNER & SOHN FAHRZEUGBAUGES.MBH (ANHAENGER),LAA A.D.THAYA/OESTERREICH
6009,VDB,,BRANTNER (A),HANS BRANTNER & SOHN FAHRZEUGBAUGESELLSCHAFT MBH,LAA A. D. THAYA/OESTERREICH
