KBA,WMI1,WMI2,Name,FullName,Location
7690,WFN,,FAUN,FAUN AG (NUTZFAHRZEUGE),LAUF A.D.PEGNITZ
7691,WJM,,IVECO-MAGIRUS,Iveco Magirus Aktiengesellschaft,Ulm
7692,W09,W55,"WEBER, KUEPS",WEBER GMBH FAHRZEUGBAU (ANHAENGER),KUEPS
7693,WAL,,ALF,ALF FAHRZEUGBAU GMBH & CO KG (ANHAENGER),WERNE
7694,,,"SCHERER, KOBLENZ",SCHERER (SONDERFAHRZEUGE),KOBLENZ
7695,,,STAN.ELEK.LORENZ-SEL,STANDARD ELEKTRIK-LORENZ AG (SONDERFAHRZEUGE),KOBLENZ
7696,W09,F11,FLENSBURG.FZ-BAU-FFG,FFG FLENSBURGER FAHRZEUGBAU GMBH,FLENSBURG
7697,W09,W53,WARNCKE,UWE WARNCKE FAHRZEUGBAU (ANHAENGER),FRIEDRICHSTADT
7698,W09,S21,"SCHMIDT, HAGEN",AUGUST SCHMIDT GMBH & CO KG (ANHAENGER),HAGEN
7699,W09,W15,WEFA,WEFA FAHRZEUGBAU GMBH (ANHAENGER),PADERBORN
7700,,,"SCHROEDER, OLDENBURG",SCHROEDER FAHRZEUG-U.KAROSSERIEBAU GMBH (ANHAENGER),OLDENBURG
7701,,,STOLTE,DETLEF STOLTE FAHRZEUGBAU (ANHAENGER),EINBECK/IMMENSEN
7702,W09,E24,EICHELBERGER,KRAFTFAHRZEUGE EICHELBERGER GMBH & CO KG (ANHAENGER),BADEN-BADEN
7703,,,SPAEGELE,SPAEGELE FAHRZEUGBAU GMBH (ANHAENGER),WEILERSWIST
7704,,,RFW,RFW-FAHRZEUGVERTRIEBS GMBH (ANHAENGER),WUPPERTAL
7705,W09,SH0,SENNEBOGEN,SENNEBOGEN Multi Line GmbH & Co. KG,Wackersdorf (Hauptfirmensitz Straubing)
7706,W09,D12,DUECKER,"GERHARD DUECKER KG (ANHAENGER, ARBEITSMASCHINEN)",STADTLOHN
7707,W09,A06,ARDEN,ARDEN AUTOMOBILBAU GMBH (PERSONENKRAFTWAGEN),KLEVE
7708,,,LESA,"LESA GMBH (LKW, ANHAENGER)",STOLBERG
7709,W09,K16,KEINATH,KEINATH CABRIO-BAU GBR (PERSONENWAGEN),DETTINGEN/ERMS
7710,W09,J02,ISDERA,ISDERA GMBH (PERSONENWAGEN),Saarwellingen
7711,,,WOLFF,WOLFF VERKAUFSFAHRZEUGE GMBH (ANHAENGER),REISKIRCHEN
7712,W09,S05,SCHWARTE+BEUMER-S+B,S+B SCHWARTE+BEUMER MOLKEREIMASCHINEN (ANHAENGER),LIPPSTADT
7713,,,SCHIERLING,FAHRZEUGBAU SCHIERLING GMBH (LKW/ANHAENGER),HAMELN
7714,W09,K73,KUEPPER + WEISSER,KUEPPER + WEISSER GMBH (ANHAENGER),BRAEUNLINGEN
7715,W09,S08,SCHWARZ + DUERR,SCHWARZ + DUERR OHG (ANHAENGER),KELTERN-DIETLINGEN
7716,W09,M05,MATTHES,AUTOHAUS MATTHES SOEHNE GMBH (PERSONENKRAFTWAGEN),FRANKFURT/MAIN
7717,,,FELDEVERT-GFG,GFG-GERHARD FELDEVERT & CO (PERSONENWAGEN),GRONAU-EPE
7718,,,VMB VESTA,VMB VESTA MASCHINENBAU GMBH & CO KG (GELAENDEWAGEN),RHEINSTETTEN
7719,WHN,,HANOMAG BAUMASCHINEN,HANOMAG BAUMASCHINEN PRODUKTION + VERTRIEB GMBH (AM),HANNOVER
7720,,,KUKA,KUKA-WEHRTECHNIK GMBH (ANHAENGER),AUGSBURG
7721,WHD,,HUMBAUR,HUMBAUR GMBH (ANHAENGER),GERSTHOFEN
7722,,,FUCHS,FUCHS-BAGGER GMBH & CO KG (ARBEITSMASCHINEN),BAD SCHOENBORN
7723,,,OTTOMEYER,OTTOMEYER GMBH & CO KG (ANHAENGER),LUEGDE
7724,,,HYMER-LEICHTM-BAU,HYMER LEICHTMETALLBAU (ANHAENGER),WANGEN
7725,WJU,,JUNGE,JUNGE FAHRZEUGBAU GmbH,BARSBUETTEL
7725,W09,J10,JUNGE,JUNGE FAHRZEUGBAU GMBH (ANHAENGER),BARSBUETTEL
7726,W09,K21,KUTSCHKE,KUTSCHKE FAHRZEUGBAU GMBH & CO KG (ANHAENGER),HUENXE
7727,W09,K48,KAROSSERIEF.BIBERACH,KAROSSERIEFABRIK BIBERACH GMBH (ANHAENGER),BIBERACH/RISS
7728,,,DOERPENER AUTOM-BAU,DOERPENER AUTOMOBILBAU GMBH (PERSONENWAGEN),DOERPEN/EMS
7729,W09,A34,ANSCHAU,GEBR.ANSCHAU GMBH (ANHAENGER),RUEDESHEIM/RHEIN
7730,W09,W93,WIEDENMANN,Wiedenmann GmbH,Rammingen
7731,WAG,,MAN NUTZFAHRZEUGE,MAN NUTZFAHRZEUGE AG,MUENCHEN
7731,WMA,,MAN NUTZFAHRZEUGE,MAN NUTZFAHRZEUGE AG,MUENCHEN
7732,W09,R25,RINNEN,RINNEN GMBH & CO KG (ANHAENGER),MOERS
7733,W09,T07,TRASCO,TRASCO EXPORT GMBH (PERSONENKRAFTWAGEN),BREMEN
