KBA,WMI1,WMI2,Name,FullName,Location
0866,W09,M50,MAFI INDUSTRIEFAHRZ.,MAFI TRANSPORT-SYSTEME GMBH (NUTZFAHRZEUGE),TAUBERBISCHOFSHEIM
0867,,,"HENNE,HEINRICH",HEINRICH HENNE ANHAENGERBAU,IMMENSEN KRS. EINBECK
0868,,,MOTORRADW.ZSCHOP.-MZ,MOTORRADWERK ZSCHOPAU GMBH,ZSCHOPAU
0869,,,"SCHMIDT,AUGUST",AUGUST SCHMIDT KG ANHAENGER-U.KAROSSERIEBAU,HAGEN/WESTFALEN
0870,W09,H49,H&W,H.+W. NUTZFAHRZEUGTECHNIK GMBH FAHRZEUGBAU (ANH.),VREDEN
0871,W09,B42,BTK,BREMER TRANSPORT-U.KRANTECHNIK GMBH FAHRZEUGB.(ANH.),BREMEN
0872,W09,G27,GOEKEN,REINHOLD GOEKEN PKW-ANHAENGERBAU,GARREL
0873,SNE,,AUTOMOB-EISENACH-AWE,AUTOMOBILWERK EISENACH GMBH (PERSONENWAGEN),EISENACH
0873,SNE,,AUTOMOB-EISENACH-AWE,SIEHE AWE (WARTBURG),EISENACH
0874,W09,M47,MF TRIKE CENTER,"MF TRIKE CENTER, INH.HOLGER FRANZ (PERSONENWAGEN)",HAMELN
0875,W09,V14,VOGT,OTTO VOGT FAHRZEUGBAU (ANHAENGER),BAD FRIEDRICHSHALL
0876,,,LANGE & GUTZEIT,LANG & GUTZEIT ANHAENGER,BERLIN
0877,,,SPEZIALFAHRZEUGBAU,SPEZIALFAHRZEUGBAU GMBH,LANGENFELD
0878,,,DINGLERWERKE,DINGLERWERKE AG,ZWEIBRUECKEN
0879,W09,P06,PAUS,HERMANN PAUS MASCHINENFABRIK GMBH (SONDERFAHRZEUGE),EMSBUEREN
0880,W09,G09,GROTE,ERNST GROTE,OBERENSE UEB.WERL/WESTFALEN
0881,,,WEINBERGER,CARL WEINBERGER ANHAENGERBAU,MUENCHEN
0882,,,DEMAG-DRUCKLUFTTECHN,DEMAG-DRUCKLUFTTECHNIK GMBH,FRANKFURT/MAIN
0883,W09,M02,MANNESM.DEMAG-BAUMA.,MANNESMANN DEMAG-BAUMASCHINEN AG (KRANBAU),DUISBURG
0883,W09,M10,MANNESM.DEMAG-BAUMA.,MANNESMANN DEMAG-BAUMASCHINEN AG,DUISBURG
0884,WMN,,MANNESM.DEMAG-DRUCKL,MANNESMANN DEMAG AG (ANHAENGER),DUISBURG
0885,W09,G28,GRAU,FAHRZEUGPARK GRAU GMBH (ANHAENGER),RADEBURG
0886,,,STRUEVER,AD.STRUEVER KG TANKWAGENBAU,HAMBURG
0887,WJE,,IRMER & ELZE,IRMER & ELZE MASCHINENFABRIK GMBH & CO KG,BAD OEYNHAUSEN
0888,W09,F05,FLOTTMANN-WERK,FLOTTMANN-WERKE GMBH (ANHAENGER),HERNE 1/WESTFALEN
0889,WSN,,SPITZER,SPITZER SILO -FAHRZEUGWERKE (ANHAENGER),Elztal-Dallau
0889,W09,S11,SPITZER,SPITZER SILO-FAHRZEUGWERKE (ANHAENGER),Elztal-Dallau
0890,,,LOHNER (A),LOHNER-WERKE,WIEN/OESTERREICH
0891,W09,F29,"FISCHER,KIRCHHEIMB.",FISCHER FAHRZEUGBAU GMBH (ANHAENGER),KIRCHHEIMBOLANDEN
0892,,,SCHAEFER-STAHLBAU,STAHLBAU SCHAEFER,LUDWIGSHAFEN
0893,,,LAICHER,WILLY LAICHER ANHAENGER,HEILBRONN
0894,,,MOTOPORTER,MOTOPORTER NUTZFAHRZEUGE GMBH,HANAU
0895,,,"SCHMID,ALFRED",ALFRED SCHMID GMBH MASCHINENBAU,ST.BLASIEN
0896,W09,S63,SCHULER,SCHULER FAHRZEUGBAU GMBH,Ebhausen
0897,,,FLAMMAT-WERK,VEB FLAMMAT-WERK,"TREFFURT,WERRA/DDR"
0898,W09,B20,"BEILHARZ,GEORG",GEORG BEILHARZ U.SOHN GMBH & CO KG (ANHAENGER),ESSEN-BORBECK
0899,SN1,,FAHRZEUGW.OLBERNHAU,VEB FAHRZEUGWERK OLBERNHAU (CARAVANES PLIANTES),OLBERNHAU/DDR
0900,,,SONST.KFZ.HERSTELLER,NATIONALER SAMMELSCHLUESSEL OHNE WMI,
0901,,,SONST.KFZ.HERSTELLER,NATIONALER SAMMELSCHLUESSEL MIT WMI,
0902,,,BOITMANN,BENNO BOITMANN FAHRZEUGFABRIK,HASELUENNE-ELTERN
0903,,,WIBAU,"WIBAU,WESTDEUTSCHE IND.-, STRASSEN-U.MASCH.BAU GMBH",ROTHENBERGEN KRS.GELNHAUSEN
0904,W09,B43,BUCHHEISTER,BUCHHEISTER LANDMASCHINEN GMBH (ANHAENGER),COPPENBRUECKE OT HERKENSEN
0905,,,MOTOVELO,ZWEIRADFABRIKATION U.VERTRIEB MOTOVELO GMBH,ALZENAU
0906,WMF,,MASS-FERG-HANOMAG(D),MASSEY-FERGUSON-HANOMAG INC & CO (ARBEITSMASCHINEN),HANNOVER
0907,W09,S64,SCHARFEN,WALTER SCHARFEN FAHRZEUGBAU (ANHAENGER),WUENNENBERG
0908,,,REHBERGER,JOS.REHBERGER ANHAENGER,FRANKFURT/MAIN
0909,,,BEUMER,TH.BEUMER FAHRZEUGBAU,AHLEN/WESTFALEN
