KBAManufacturerID,KBAManufacturerName,TotalCount
3068,HYMER (F),10320
1153,HONDA (USA),10285
4000,ALFA ROMEO (I),10199
1434,HULCO,10146
7501,YAMAHA (E),10055
6166,HUEFFERMANN,10043
8952,TORGAU LANDMASCH-BAU,9727
1681,STREETSCOOTER,9472
5046,EDUARDS (B),9399
1699,SUZUKI INDOMOBIL (RI),9371
7610,SUZUKI (E),9206
4156,CNH (I),9189
4014,MASERATI (I),9091
1029,BUELL (USA),8847
2189,ZHEJIANG GEELY (RC),8835
6853,HARBECK,8551
6924,FAHRZEUGWERK GRUBE,8526
7105,NISSAN (J),8439
9600,DE FOR.TRAILERFA(DK),8431
1414,MERCEDES-AMG,8397
7452,YAMAHA (RC),8184
7735,ANH-BAU WITTENBERGE,7924
6111,BLOMERT,7855
9216,ZSP NIEWIADOW (PL),7592
9318,MINSK TRAK-WERK (BY),7581
9958,"AUWAERTER,FAHRZEUGW.",7413
1601,SCHMITZ CARGOBULL GOTHA,7377
7612,SANTANA (E),7311
8109,TPV (SLO),7263
3041,SOVAB (F),7109
1652,HONDA (VN),7077
7811,TREBBINER FAHRZEUGW.,7050
6443,KROEGER,6867
4051,FANTIC MOTOR (I),6827
2320,SMART (RC),6777
7891,TEC CARAVAN,6773
0505,BMW MOTORRAD,6680
6545,CI CARAVANS WILK,6486
0333,HAKO,6413
1327,WUYANG-HONDA (RC),6328
6784,HEKU,6298
0932,CLAAS,6257
0561,FAHR,6205
4074,FIAT TRATTORI (I),6111
4064,MASSEY-FERGUSON (I),6083
8921,GOERLITZ FEUERL-GER.,6065
0873,AUTOMOB-EISENACH-AWE,6011
7806,MULTICAR,6001
6922,KAROSSERIEWERK-KWE,5978
1766,GENERAL MOTORS (USA),5933
7963,DEUTZ-FAHR AGRARS.,5909
7656,ALPINA,5893
9840,MZ MOTORRAD-U.ZWEIR.,5678
7606,NISSAN (E),5566
1397,XIAMEN XIASHING (RC),5543
6009,BRANTNER (A),5501
8681,TIAG,5365
7526,GENERAL MOTORS (E),5344
0547,"SCHLUETER,ANTON",5285
1556,LADA,5276
4038,BENELLI (I),5234
2049,LEYLAND (UK),5114
1749,VARIANT (DK),5067
1216,PIAGGIO (RC),5044
7605,MERCEDES-BENZ (E),5025
8356,HONDA (IND),4912
0590,AUTO UNION,4822
6875,FELDBINDER,4688
2154,JINAN QINGQI KR (RC),4673
9407,VALTRA (FIN),4670
0533,"LANZ,AULENDORF",4669
2280,GREAT WALL MOTOR (RC),4651
6769,"MUELLER,MITTELTAL",4612
1189,YAMAHA MOTOR (RC),4564
1829,PELPI (I),4509
1620,THULE (S),4462
4127,HUSQVARNA (I),4454
4133,BELGARDA (I),4446
6206,MUENZ,4327
6003,STEYR-D-PUCH (A),4319
7892,"NISSEN,ADOLF",4223
0031,MASCH.F.A-NUERNB-MAN,4195
4027,CARRARO (I),4168
2160,BYD (RC),4142
9308,WOLGA-AUTOW.-VAZ/RUS,4135
7881,"KROEGER,FELIX",4019
0578,BAUTZ,4007
4114,ALFA LANCIA (I),3996
6918,DETHLEFFS CARAVANS,3995
2091,BENTLEY (UK),3980
0064,ZUENDAPP-WERKE,3949
0673,MEILLER,3900
0037,NSU-MOTORENWERKE,3869
4163,YAMAHA (I),3866
7457,TAIW.GOLDEN BEE (RC),3859
8254,HYOSUNG (ROK),3853
4134,NEW HOLLAND ITAL.(I),3840
8994,WALTERSHAUSEN FZ-W.,3803
2125,NISSAN (UK),3765
7671,ABL,3733
1211,ARGO (I),3727
7464,AEON MOTOR (RC),3686
1336,STAS (B),3686
3128,MATRA (F),3673
2142,MG ROVER (UK),3673
2184,SAIC MAXUS (RC),3548
1740,GUANGDONG TAYO (RC),3338
8706,SCHMITZ GOTHA,3322
1914,HONDA (BR),3261
0469,WICK,3259
9913,WESTFALIA-HEINEMANN,3242
9759,HENRA (NL),3232
1755,SWM (I),3210
1729,FLIEGL AGRARTECHNIK,3200
7433,THAI YAMAHA (THA),3069
0023,NUERNB.HERCULESWERKE,3067
7823,FAHRZEUGWERK WERDAU,3024
6012,LINDNER (A),3013
1259,CAPRON,2946
8918,SCHMIEDEFELD ISOKO,2934
1725,AGCO (CH),2927
6366,DUIS,2924
8899,LEIPZIG ELG SCHMIEDE,2907
6032,FIT-ZEL (A),2889
7458,STANDARD MOTOR (RC),2887
8757,CI WILK,2831
8965,DRESDEN LUFTTECH-ANL,2770
7877,KAESER,2766
6750,THIEL,2737
0594,"HEINKEL,STUTTGART",2696
4117,FIATGEOTECH (I),2694
7809,LANDTECHNIK SCHOENEB,2646
0889,SPITZER,2604
4115,S+L+H (I),2598
9226,PRONAR (PL),2594
7783,PGH,2593
6997,RUKU,2576
2135,NEW HOLLAND (UK),2574
9620,BUHL (DK),2565
1481,KWANTEN (B),2531
1575,EDER,2438
2023,CASE (UK),2385
7009,MCC (CH),2375
8635,COMPAIR,2289
8929,HENNIGSDORF BAUMECH.,2232
4104,MALAGUTI (I),2229
7693,ALF,2185
1793,CHONGQING LONCIN (RC),2169
8903,"HARTMANN,J.",2157
5028,FORD (B),2154
1174,POLARIS (USA),2145
5030,ATLAS COPCO (B),2139
0231,THRUN-EICKER,2124
6916,LORD MUENSTERLAND,2057
1949,RENAULT (F),1982
1578,SUNDIRO HONDA (RC),1971
6722,"REISCH,MARTIN",1954
0559,"FAHR-GUELDNER,ASCHA.",1921
4107,PININFARINA (I),1907
8701,REWACO,1902
1406,TEMPUS,1893
2327,B-ON,1870
2024,BROWN (UK),1821
7888,MOT.-U.ZWEIRADW.-MUZ,1818
1273,ZHEJIANG QIANJIANG (RC),1795
9750,ATEC (NL),1788
2063,AGCO (UK),1784
8569,FB,1779
8003,ZETOR ZKL (CZ),1776
9107,SAAB-SCANIA (S),1769
6952,VAW,1763
7528,FORD (E),1762
3033,ALPINE (F),1725
6005,CASE STEYR (A),1718
8255,DAEWOO (ROK),1716
1673,QUADRO (CH),1698
6956,ERIBA-HYMER,1675
1676,INNOTRAILER,1673
6384,BLOMENROEHR,1670
8200,UZINA TRACTORUL (R),1666
0654,"HIRTH,BRUNO",1660
3142,TRIGANO VDL (F),1653
6653,SACHS,1634
6900,PUTZ-U.FOERDERT.-PFT,1619
8640,JOTHA,1615
1343,KREIDLER EUROPE,1608
1278,JINAN QINGQI (RC),1605
8914,BERNAU ELG METALL,1605
6897,RUDOLPH & SOHN,1604
1712,BUECKER TRAILER,1600
6004,STEYR (A),1581
7611,NACIONAL MOTOR (E),1571
0598,GLAS,1559
0575,BMW MOTORSPORT,1523
1924,HANWAY (UK),1495
1497,ZHEJIANG CFMOTO (RC),1461
8998,SCHOENEBECK TRAK-W.,1451
0597,KREIDLER,1449
4015,LANDINI (I),1441
1767,CHONGQING SHINERAY (RC),1438
0560,"FAHR-GUELDNER,GOTTM.",1415
2111,AUSTIN ROVER (UK),1403
7845,FB METALLVERARBEIT.,1364
2127,IBC VEHICLES (UK),1335
1758,TEMPUS HOLDING,1322
8100,IMV-ADRIA (YU),1303
2257,NIO (RC),1302
1322,CLAAS (H),1294
1282,NINGBO LONGJIA (RC),1293
0899,FAHRZEUGW.OLBERNHAU,1282
1178,HONDA TURKIYE (TR),1282
2218,STREETSCOOTER ENGINEERING,1281
1909,CAMI (CDN),1272
3042,ERDE (F),1258
7461,HER CHEE (RC),1257
9120,SCANIA (S),1247
1309,ZHUZH.JIANSHE YAMAHA (RC),1242
0016,BARKAS-VEB,1229
0936,KRAMPE,1223
1831,YAMAHA (VN),1221
6948,FAHRZ.U.JAGDW-W.SUHL,1217
9594,EGHOLM (DK),1213
8677,"SCHMIDT,ST.BLASIEN",1194
2149,BL CARS (UK),1194
2076,XL HOLDING GROUP (RC),1176
5035,CHATEAU CARAVANS (B),1171
