KBA,WMI1,WMI2,Name,FullName,Location
0378,,,BAYR.TRAKT.U.FZG-BTG,BAYERISCHE TRAKTOREN-UND FAHRZEUGBAU GMBH,MUENCHEN
0379,,,RAUCH,RAUCH LANDMASCHINENFABRIK GMBH,SINZHEIM KRS.BUEHL/BADEN
0380,,,STEINMANN,JOSEF STEINMANN MASCHINEN-U.GERAETEBAU,VREDEN/WESTFALEN
0381,WKM,,KNAUS,KNAUS CARAVAN GMBH (ANHAENGER),JANDELSBRUNN
0381,WKN,,KNAUS,KNAUS CARAVAN GMBH (ANHAENGER),JANDELSBRUNN
0381,WKT,,KNAUS,KNAUS CARAVAN GMBH (ANHAENGER),JANDELSBRUNN
0381,WKW,,KNAUS,KNAUS CARAVAN GMBH (ANHAENGER),JANDELSBRUNN
0382,,,FAVORIT,FAVORIT FAHRZEUG-UND SEITENWAGENBAU GMBH,BERLIN-ADLERSHOF
0383,,,VER.WESTD.WAGGONFAB.,VEREINIGTE WESTDEUTSCHE WAGGONFABRIKEN AG,MAINZ-MOMBACH
0384,,,BUNGARTZ,BUNGARTZ & CO MASCHINENFABRIK,MUENCHEN
0384,,,BUNGARTZ & PESCHKE,BUNGARTZ & PESCHKE GMBH & CO KG-MASCHINENFABRIK,HORNBACH/PFALZ
0384,,,BUNGARTZ:B.& PESCHKE,BUNGARTZ & PESCHKE GMBH & CO KG-MASCHINENFABRIK,HORNBACH/PFALZ
0385,,,"WURRING,A.DUESS.-AWD",AUGUST WURRING,BRETTSCHEID BEZ.DUESSELDORF
0386,W09,H62,"HARTMANN,PAUL",F.HARTMANN FAHRZEUGBAU (ANHAENGER),KIRCHHEIM/NECKAR
0387,,,VOLK,VOLK MASCHINENBAU GMBH & CO KG,BAD WALDSEE
0388,,,FRISCH,FRISCH GMBH,AUGSBURG
0389,W09,K47,KORDES,ALOYS KORDES METALL-U.APPARATEBAU GMBH (ANHAENGER),HALEN
0390,W09,M34,"MENKE,SCHWARTAU",MENKE KAROSSERIE-U.FAHRZEUGBAU (ANHAENGER),BAD SCHWARTAU
0391,,,"HOFFMANN-WERKE,LINT.",HOFFMANN-WERKE J.O.HOFFMANN FAHRRAD-U.MOTORRADFABRIK,LINTORF BEZ.DUESSELDORF
0392,W09,S45,SCHNIER,FRIEDRICH SCHNIER FAHRZEUGBAU (ANHAENGER),OBERLETHE
0393,,,"WETZEL,HANS",HANS WETZEL GMBH BAUMASCHINEN-U.FOERDERANLAGENFABRIK,MANNHEIM
0394,,,"KAISER,OTTO",MASCHINENFABRIK OTTO KAISER KG,OBERLAHNSTEIN/RHEIN
0395,,,RABENEICK,AUGUST RABENEICK GMBH FAHRRAD-U.MOTORRADFABRIK,BRACKWEDE B.BIELEFELD
0396,,,POHLIG-HECKEL-BLEI.,"POHLIG-HECKEL-BLEICHERT,VEREINIGTE MASCHINENFABR.AG",KOELN
0397,,,MASCHINENBAU ULM,MASCHINENBAU ULM GMBH,BEIMERSTETTEN
0398,,,RIEDEL,ZWEIRAD-MOTOREN-U.GETRIEBE GMBH VORM.RIEDEL-MOTOREN,IMMENSTADT/ALLGAEU
0399,,,"BLEICHERT,KOELN",BLEICHERT-TRANSPORTANLAGEN GMBH WESTDEUTSCHLAND,KOELN
0400,,,"BACHER,LUDWIG",FAHRZEUGFABRIK BACHER LUDWIG BACHER SEN.,WEINGARTEN/BADEN
0401,,,KIEPE,FAHRZEUGBAU KIEPE KG,OBERHAUSEN/RHEINLAND
0402,W09,H03,HERMANNS,HERMANNS NUTZFAHRZEUGE GMBH,KOELN
0403,,,SUMA SUSEMIHL,SUMA SUSEMIHL GMBH MASCHINENFABRIK,ANSPACH/TAUNUS
0404,WHE,,HEINEMANN,HEINEMANN FAHRZEUGBAU GMBH (ANHAENGER),KREUZTAL-KROMBACH
0405,,,LANSING,LANSING GMBH,ROXHEIM
0406,W09,M56,MESSNER,FAHRZEUGHAUS MESSNER GMBH FAHRZEUGBAU (ANHAENGER),GROSSGUNDERTSHAUSEN
0407,,,HOESS,HOESS MASCHINENBAU KG,RODING/OBERPFALZ
0408,,,SIEBECK-METALLWERK,SIEBECK-METALLWERK GMBH,RATINGEN
0409,,,KUEBLER,SIGMUND KUEBLER KAROSSERIE-U.FAHRZEUGBAU,SANDHAUSEN B.HEIDELBERG
0410,,,FAHRZEUGW.KARLSRUHE,FAHRZEUGWERKE KARLSRUHE GMBH,KARLSRUHE
0411,,,NORDWESTD.FAHRZB-NWF,NORDWESTDEUTSCHER FAHRZEUGBAU GMBH,WILHELMSHAVEN
0412,,,BURG,EUGEN BURG & CO ANHAENGERBAU,ESSEN
0413,,,WAGGONFABRIK WISMAR,TRIEBWAGEN-U.WAGGONFABRIK WISMAR AG,WISMAR
0414,,,SIEBEN ERBEN,SIEBEN ERBEN WEINBAUGERAETE,ZORNHEIM/MAINZ
0415,,,"SCHULZE,WILH.",WILH.SCHULZE GMBH U.CO KG,BERLIN
0416,,,WACHTBERGER,GOTTFRIED WACHTBERGER VORM.E.FRANKE,UNBEKANNT
0417,,,GOLIATH-WERK,GOLIATH-WERK GMBH,BREMEN-OSTERDEICH
0418,,,FAHRZGW.BUECKE.-FAKA,FAHRZEUGWERK BUECKEBURG GMBH,BUECKEBURG
0419,W09,L25,LORENZ,LORENZ KAROSSERIE + LACK GMBH (ANHAENGER),WETTER
0420,W09,W23,"WOLF,H.-P.",WOLF FAHRZEUGBAU (ANHAENGER),NEUENSTEIN
