KBA,WMI1,WMI2,Name,FullName,Location
1127,,,KAISER-FRAZER (USA),KAISER-FRAZER,WILLOW RUN (MICHIGAN)/USA
1128,17N,,DEERE (USA),DEERE & COMPANY (TRACTOR),"MOLINE,ILLINOIS/USA"
1129,W09,T51,TUNGER,Spezialfahrzeugbau TUNGER exklusiv,Reichenbach
1130,1S1,,STRICK & CO (USA),STRICK CORP (TRAILER),FORT WASHINGTON (PENNSYLVANIA)/USA
1130,1S2,,STRICK & CO (USA),STRICK CORP (TRUCK),FORT WASHINGTON (PENNSYLVANIA)/USA
1130,1S3,,STRICK & CO (USA),STRICK CORP (RESERVE),FORT WASHINGTON (PENNSYLVANIA)/USA
1130,,,STRICK & CO (USA),STRICK CORPORATION,PHILADELPHIA/USA
1131,,,GEN.AM.TRANSP.(USA),GENERAL AMERICAN TRANSPORTATION CORP,CHICAGO (ILLINOIS)/USA
1132,,,HIGHWAY TRAILER(USA),HIGHWAY TRAILER CO,EGBERTON (WISCONSIN)/USA
1133,,,THOMSEN TRAILER(USA),THOMSEN TRAILER CORP,USA
1134,,,HOBBS (USA),HOBBS MANUFACTURING FT WORTH,TEXAS/USA
1135,,,TREADWELL (USA),TREADWELL CONSTRUCTION CO,MIDLAND (PENNSYLVANIA)/USA
1136,,,WESTERN ELECTR.(USA),WESTERN ELECTRIC CO,NEW JERSEY (NEW YORK)/USA
1137,,,VISIONEERING (USA),VISIONEERING CO INC,USA
1138,,,KAISER JEEP (USA),KAISER JEEP CORP AUTOMOBILFABRIK,WILLOW-RUN (MICHIGAN)/USA
1139,,,MARTIN COMPANY (USA),MARTIN COMPANY,ORLANDO (FLORIDA)/USA
1140,1S9,299,STEWART (USA),STEWART & STEVENSON SERVICES INC,HOUSTON (TEXAS)/USA
1140,4AH,,STEWART (USA),STEWART & STEVENSON SERVICES INC,HOUSTON (TEXAS)/USA
1140,49N,,STEWART (USA),STEWART & STEVENSON SERVICES INC,HOUSTON (TEXAS)/USA
1141,,,SRANKS (USA),CABOT SRANKS CORPORATI ON PAMPA,HOUSTON (TEXAS)/USA
1142,,,WATERTOWN ARS. (USA),WATERTOWN ARSENAL,WATERTOWN (MASS)/USA
1143,,,HYSTER (USA),HYSTER,PORTLAND/USA
1144,,,SEBRING VANG.(USA),SEBRING VANGUARD INC,SEBRING (FLORIDA)/USA
1145,,,GICHNER (USA),GICHNER MOBILE SYSTEMS,BERKELEY SPRINGS/USA
1146,,,JOHNSON (USA),JOHNSON CORP,BELLEVUE (OHIO)/USA
1147,,,ORENDA (USA),ORENDA LTD,USA
1148,476,,GROVE INTERNAT. (USA),GROVE INTERNATIONAL CORP,GROVE SHADY (PENNSYLVANIA)/USA
1149,,,RAETHEON (USA),RAYTHEON CO,WALTHAM (MASS)/USA
