KBA,WMI1,WMI2,Name,FullName,Location
1942,2B0,,BOMBARDIER (CDN),BOMBARDIER RECREATIONAL PRODUCTS,VALCOURT (QUEBEC)/CANADA
1942,3JB,,BOMBARDIER (CDN),BOMBARDIER RECREATIONAL PRODUCTS (4-RAED.KRAFTFAHR.),VALCOURT (QUEBEC)/CANADA
1943,YXL,,Kverneland (N),Kverneland Group Operations Norway AS,Klepp Stasjon/Norwegen
1944,ZM8,,TECNOGEN (I),TECNOGEN S.p.A,Pontenure/ITALIEN
1945,WS7,,Sono Motors,Sono Motors GmbH,München
1946,,,Kaufmann (D),Kaufmann Sortimentsgrosshandel GmbH,Hannover
1947,WUE,,WALBERG,Walberg Urban Electrics GmbH,Hamburg
1948,YF9,096,Pel-tuote (FIN),Pel-tuote Oy,Rantasalmi/Finnland
1949,VF1,,RENAULT (F),RENAULT s.a.s.,BOULOGNE BILLANCOURT/Frankreich
1950,ZA9,E91,TEK. SP. ED. (I),TEK. SP. ED. Srl,Casandrino/Italien
1951,W09,T63,Treffler,Treffler Maschinenbau GmbH & Co. KG,Pöttmes-Echsheim
1952,,,Floatility,Floatility GmbH,Hamburg
1953,ZPY,,DR AUTOMOBILES (I),DR AUTOMOBILES SRL,Macchia d'Iserna IS/Italien
1954,W09,W99,Wiesmann Sports Cars,Wiesmann Sports Cars GmbH,Dülmen
1955,,,SoFlow (NL),SoFlow B.V.,Amsterdam-Duivendrecht/NL
1956,,,Bird (NL),Bird Rides Europe B.V.,Amsterdam/NL
1957,,,JLG (RO),JLG Manufacturing Central Europe SRL,Medias/Rumänien
1958,XN4,,Segway (NL),Segway Europe B. V.,Amsterdam/Niederlande
1959,W09,BB2,BFT,BFT Fahrzeugtechnik GmbH,Dötlingen
1960,W09,SH7,Sackmann,Kippermanufaktur C. Sackmann GmbH,Waldkirch
1961,,,Zhejiang Okai (RC),"Zhejiang Okai Vehicle Co., Ltd.","Jinyun County, Zhejiang/China"
1962,XN2,,Van Eck (NL),Van Eck Trailers B.V.,Beesd/Niederlande
1963,W09,R55,RMV,Rheinmetall Military Vehicles GmbH (RMV),München
1964,WPP,,POL-Planet,POL-Planet Gmbh & Co. KG,Rheinfelden
1965,WMG,,Tadano Demag,Tadano Demag GmbH,Zweibrücken
1966,,,go!mate,go!mate GmbH,Itzehohe
1967,WS8,,SUPRA,SUPRA FOTO-ELEKTRONIK-VERTRIEBS-GmbH,Kaiserslautern
1968,ZN3,,Iveco Defence (1),Iveco Defence Vehicles S.p.A.,Bolzano/ITALIEN
1969,,,TREKSTOR,TREKSTOR GmbH,Bensheim
1970,VF9,397,PL2M (F),PL2M S.A.S,Floirac/Frankreich
1971,,,iconBIT,iconBIT GmbH,Mönchengladbach
1972,,,Micro,Micro Mobility Systems D GmbH,Geislingen-Binsdorf
1973,,,P-Collection,P-Collection Bernd Plutzkat e.K.,Balingen
1974,NR9,118,ROMSAN (TR),ROMSAN TARIM SAN. ve DIS TIC. A.S,Balikesir/Türkei
1975,,,Karcher,Karcher AG,Birkenfeld
1976,WA2,,autocycle techcenter,autocycle techcenter GmbH,Obernzell
1977,,,em Transit (NL),em Transit B.V.,Amsterdam/Niederlande
1978,7JM,,TROPOS (USA),TROPOS TECHNOLOGIES; INC,MORGAN HILL/USA
1979,,,Stark (D),Stark Products GmbH,Bad Friedrichshall
1980,,,MTS,MTS Marken Technik Service GmbH & Co. KG,Karlsruhe
1981,,,D-Parts,D-Parts Mobilphon und Zubehör GmbH,Langenselbold
1982,,,Hyundai Constr. (ROK),"Hyundai Construction Equipment Co., Ltd.","Seongnam-si, Gyeonggi-do/Südkorea"
1983,,,Soletek,Soletek GmbH,Erkrath
1984,,,Zhejiang Jinbang (RC),Zhejiang Jinbang Sports Equipment Co.Ltd.,Zhejiang/China
1985,,,ECD,ECD Germany GmbH,Leverkusen
1986,,,CityBlitz,CityBlitz GmbH,Wegberg
