KBA,WMI1,WMI2,Name,FullName,Location
2395,LXR,,Jiangsu Xinri (RC),"Jiangsu Xinri E-Vehicle Co., Ltd.",Wuxi City/China
2396,TB9,537,Wüst (CH),Wüst Maschinen- und Fahrzeugbau AG,Eggiwil/Schweiz
2397,YD8,,Ets JOSKIN (B),Ets JOSKIN SA,Soumagne/Belgien
2398,SLJ,,LUQI (UK),"LUQI INTELLGENT TECHNOLOGY Co., Ltd.",Great Missenden/Vereinigtes Königreich
2399,R3M,,MANGOSTEEN (RC),"MANGOSTEEN TECHNOLOGY CO., LTD.",HONG KONG/CHINA
2400,,,HD HYUNDAI (ROK),"HD HYUNDAI INFRACORE CO., LTD.",Incheron/Korea
2401,VF9,971,Novag (F),Novag SAS,Fressines/Frankreich
2402,,,REVENTAL,REVENTAL GmbH,Büren
2403,,,X Future,X Future GmbH,Leipzig
2404,W09,A76,ACT,ACT Well Services GmbH,Diesdorf
2405,SE4,,Maeving (UK),Maeving Limited,Coventry/Vereinigtes Königreich
2406,LYZ,,Jinlang (RC),Jinlang Science And Technology Co. Ltd.,Taizhou City/China
2407,WKJ,,Kia,Kia Deutschland GmbH,Frankfurt am Main
2408,LM6,,Brilliance Shineray (RC),"Brilliance Shineray Chongqing Automobile Co., Ltd.",Chongqing/China
2409,KPA,,KG Mobility (ROK),KG Mobility Corp.,"Pyeongtaek-si, Gyeonggi-do/ Südkorea"
2409,KPT,,KG Mobility (ROK),KG Mobility Corp.,"Pyeongtaek-si, Gyeonggi-do/ Südkorea"
2410,,,Invanti (RC),"Invanti (Beijing)Technology Co.,Ltd.",Beijing/China
2411,HZ2,,Taizhou ZhiLong (RC),"Taizhou ZhiLong Technology Co., Ltd.","Taizhou City, Zhejiang/China"
2412,SYM,,Unitrailer (PL),Unitrailer Sp. z o.o.,Swidnik/Polen
2413,,,HD Hyundai Constr. (ROK),"HD Hyundai Construction Equipment Co., Ltd.",Seongnam-si/Südkorea
2414,TK9,AH3,ATMOS (CZ),ATMOS Chrast s.r.o.,Chrast/Tschechische Republik
2415,ME1,,INDIA YAMAHA (IND),INDIA YAMAHA MOTOR PVT. LTD.,Sriperumpudur/Indien
2416,W09,G82,Global,Global Fahrzeugtechnik GmbH,Döbeln
2417,,,JINHUA JOYOR (RC),"JINHUA JOYOR VEHICLE CO.,LTD.","Yongkang City, Zhejiang/China"
2418,VG5,,YAMAHA (F),YAMAHA MOTOR MANUFACTURING EUROPE SAS,Rouvroy/Frankreich
2419,W09,R66,Rolfhartge,Rolfhartge GmbH,Überherrn
2424,ZAC,,STELLANTIS (I),STELLANTIS EUROPE S.P.A.,Turin/Italien
2424,ZFA,,STELLANTIS (I),STELLANTIS EUROPE S.P.A.,Turin/Italien
2424,ZLA,,STELLANTIS (I),STELLANTIS EUROPE S.P.A.,Turin/Italien
2525,VR1,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
2525,VR3,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
2525,VR7,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
2525,VXK,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
2525,VX4,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
2525,VX5,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
2525,VYF,,Stellantis (F),Stellantis Auto SAS,Poissy/Frankreich
3000,VF9,795,BUGATTI (F),AUTOMOBILES E.BUGATTI,MOLSHEIM (BAS-RHIN)/FRANKREICH
3000,,,BUGATTI (F),AUTOMOBILES E.BUGATTI,MOLSHEIM (BAS-RHIN)/FRANKREICH
3001,VF7,,CITROEN (F),Automobiles CITROEN,POISSY/Frankreich
3002,,,FRANCOLAM (F),FRANCOLAM SA,SORBIERS/FRANKREICH
3003,VF3,,PEUGEOT (F),Automobiles PEUGEOT,POISSY/Frankreich
3003,VXE,,PEUGEOT (F),Automobiles PEUGEOT,POISSY/Frankreich
3003,VXF,,PEUGEOT (F),Automobiles PEUGEOT,POISSY/Frankreich
3004,VF1,,RENAULT (F),RENAULT (PERSONENKRAFTWAGEN),BOULOGNE BILLANCOURT/FRANKREICH
3004,,,RENAULT (F),RENAULT AGRICULTURE SA (VOITURES PARTICULIERES),VELIZY VILLACOUBLAY CEDEX/FRANKREICH
3004,,,RENAULT (F),WERK LE MANS/FRANKREICH,LE MANS/FRANKREICH
3005,,,FURUKAWA (F),FURUKAWA EQUIPEMENT S.A. (SPECIAL PURPOSE VEHICLE),GENAS/FRANKREICH
3006,VGA,,PEUGEOT CYCLES (F),CYCLES PEUGEOT SA (MOTORCYCLE),BEAULIEU-VALENTIGNEY (DOUBS)/FRANKR.
3007,,,FACEL-VEGA (F),FACEL SA,PARIS/FRANKREICH
3008,,,AMX (F),AMX.ATELIERS D.ISSY LEX,MOULINAUX/FRANKREICH
3009,,,BERLIET (F),AUTOMOBILES M.BERLIET,PARIS/FRANKREICH
3010,,,"BERNARD, CAMIONS (F)",CAMIONS BERNARD SA LASTWAGEN-U.TRAKTORENFABRIK,ARCUEIL/FRANKREICH
3011,,,POCLAIN (F),POCLAIN SA (SPECIAL PURPOSE VEHICLE),LE PLESSIS-BELLEVILLE (OISE)/FRANKR.
