KBA,WMI1,WMI2,Name,FullName,Location
3012,VFX,,ERKA (F),ERKA SA LA FERTE SOUS (CARAVANES),JOUARRE/FRANKREICH
3013,,,TICHAUER (F),SOCIETE ANONYME TICHAUER & CIE,BELLEY (AIN)/FRANKREICH
3014,VG1,,BENDIX (F),STE BENDIX SAINT MICHEL SNC (CARAVANES),PARIS U.SAINT MICHEL/FRANKREICH
3015,VF9,069,BOUYER (F),ETS.BOUYER SA (ECHELLES REMORQUABLES),TOMBLAINE (M.M.)/FRANKREICH
3016,VH7,,SULLAIR EUROPE (F),SULLAIR EUROPE SA (TRAILER),SAINT PRIEST/FRANKREICH
3017,,,CASE FRANCE (F),CASE FRANCE (SPECIAL PURPOSE VEHICLE),VILLEPINTE/FRANKREICH
3018,,,SINFAC (F),SOCIETE IND.NOUVELLE DE FABRICATION POUR L'AUTOMOBILE,COURBEVOIE/FRANKREICH
3019,,,S.E.V.M.A.(F),S.E.V.M.A.,PARIS/FRANKREICH
3020,,,INTER HARV.-IHC (F),INTERNATIONAL HARVESTER FRANCE,PARIS/FRANKREICH
3021,,,PERKINS (F),MOTEURS PERKINS SA,ST DENIS/FRANKREICH
3022,,,FORCE (F),FORCE ET CHANTIERS MEDITERRANEE,FRANKREICH
3023,,,MASSEY-FERGUSON (F),MASSEY-FERGUSON SA,BEAUVAIS/FRANKREICH
3023,,,MASSEY-FERGUSON (F),MASSEY-FERGUSON SA,MARQUETTE/FRANKREICH
3024,,,STANDARD-HOTCHK.(F),STANDARD-HOTCHKISS FERGUSONSCHLEPPERBAU,ST DENIS/FRANKREICH
3025,,,HOTCHKISS (F),HOTCHKISS-BRANDT SA,ST DENIS (SEINE)/FRANKREICH
3026,VMK,,RENAULT SPORT (F),RENAULT SPORT (PASSENGER CAR),VIRY CHATILLON/FRANKREICH
3027,,,LAMBRETTA (F),LAMBRETTA SAF,ST JULIAN-LES-VILLAS/FRANKREICH
3028,,,FORD (F),FORD FRANCE SA,RUEIL-MALMAISON/FRANKREICH
3029,LPR,,MBK (F),MBK INDUSTRIE (MOTORCYCLE),ST.QUENTIN/FRANKREICH
3029,VG5,,MBK (F),MBK INDUSTRIE (MOTORCYCLE),ST.QUENTIN-ROUVROY/FRANKREICH
3030,VF9,619,HEYWANG (F),HEYWANG-INDUSTRIES SA (TRAILER),BOURGHEIM/FRANKREICH
3031,,,MOTO STANDARD (F),MOTO STANDARD,MACON/FRANKREICH
3032,,,PANHARD (F),PANHARD & LEVASSOR AUTOMOBILFABRIK,PARIS/FRANKREICH
3033,VFA,,ALPINE (F),SOCIETE DES AUTOMOBILES ALPINE-RENAULT(VOITUR.PART.),DIEPPE/FRANKREICH
3034,,,LYS (F),MANUF.NAT.DE VOITURES D.ENFANTS,LILLE/FRANKREICH
3035,VF9,041,SPITZER EUROVRAC (F),SPITZER EUROVRAC S.A.R.L. STRASBOURG (SEMI-TRAILER),FEGERSHEIM CEDEX/FRANKREICH
3036,,,SUD-AVIATION CAR.(F),SUD-AVIATION CARAVELAIR,ST NAZAIRE/FRANKREICH
3037,VFK,,FRUEHAUF (F),FRUEHAUF SAS,Auxerre/Frankreich
3037,,,"FRUEHAUF, FRANCE (F)","FRUEHAUF, FRANCE SA",RIS-ORANGIS (ESSONNE)/FRANKREICH
3038,,,TOLERIE (F),SOCIETE DE TOLERIE DE MECANIQUE,FRANKREICH
3039,VGM,,JAMET (F),ANDRE JAMET (CARAVANS),GRENOBLE/FRANKREICH
3040,VKK,,AGCO (F),AGCO S.A.S. (TRACTOR),BEAUVAIS/FRANKREICH
3041,VN1,,SOVAB (F),SOVAB (PASSENGER CAR),BATILLY/FRANKREICH
3042,VJW,,ERDE (F),ERDE S.A.(TRAILER),SAULON LA CHAPELLE/FRANKREICH
3043,,,THOMSEN (F),THOMSEN HOUSTEN,FRANKREICH
3044,,,UNIC-SIMCA (F),UNIC-SIMCA INDUSTRIES,PUTEAUX (SEINE)/FRANKREICH
3045,,,DEERE (F),John Deere S.A.S. Usine d Arc-les-Gray,Gray Cedex/Frankreich
3045,,,DEERE (F),JOHN DEERE S.A.S,FLEURY-LES-AUBRAIS/FRANKREICH
3046,,,"BERNARD,S.A.(F)",S.A.BERNARD MOTOREN-U.SCHLEPPERFABRIK,PARIS/FRANKREICH
3047,VN2,,GOURDON (F),GOURDON FRERES S.A. (TRAILER),AIRE SUR ADOUR/FRANKREICH
3048,,,ACMA (F),SOCIETE ACMA,PARIS/FRANKREICH
3049,,,SOC.COM.MOT.-CLM (F),SOCIETE COMMERCIALE DE MOTEURS C.L.M.,LILLE/FRANKREICH
3052,,,MONET-GOYON (F),MONET-GOYON MOTORRADFABRIK,MACON(LOIRE)/FRANKREICH
3053,VG5,,MOTOBECANE (F),MBK INDUSTRIE SOCIETE NOUVELLE MOTOBECANE (M-CYCLE),SAINT-QUENTIN/FRANKREICH
3054,,,TERROT (F),TERROT MOTORRADFABRIK,DIJON/FRANKREICH
3056,,,SAVIEM (F),SA DE VEHICULES IND. ET D'EQUIPEMENTS MECAN.-SAVIEM,SURESNES (SEINE)/FRANKREICH
3057,,,FLOIRAT (F),FLOIRAT OMNIBUSFABRIK,ST DENIS (SEINE)/FRANKREICH
