KBA,WMI1,WMI2,Name,FullName,Location
7734,W09,K34,KRAMER,KRAMER FAHRZEUGBAU GMBH & CO (ANHAENGER),GUETERSLOH
7735,SN4,,ANH-BAU WITTENBERGE,VEB ANHAENGERBAU WITTENBERGE,WITTENBERGE/DDR
7736,W09,A24,"AUWAERTER, WALDERSHOF",Auwärter - Anhänger und Aufbauten GmbH & Co. KG,WALDERSHOF
7737,,,JODAG,JODAG-CAROSSERIE-SYSTEM GMBH & CO KG (ANHAENGER),SCHWAEBISCH-GMUEND
7738,WBH,,BOHSE,BOHSE AUTOMOBILBAU GMBH (PERSONENKRAFTWAGEN),DOERPEN/EMS
7739,W09,E05,ELBERO,ELBERO FAHRZEUG-U.MASCHINENBAU GMBH & CO (ANHAENGER),LINGEN/EMS
7740,,,PLATTHAUS,HEINRICH PLATTHAUS (SONDERFAHRZEUGE),LEICHLINGEN
7741,W09,U12,UNO MOTORRADTECHNIK,UNO MOTORRADTECHNIK ROBERT RIEDER,HIRBLINGEN
7742,W09,T08,TSCHU-TSCHU-BAHNEN,"TSCHU-TSCHU-BAHNEN,H.SICHLER",NEUMARKT
7743,W09,N04,NIEHUESER,K.-H.NIEHUESER KAROSSERIEBAU (LASTKRAFTWAGEN),MAINHAUSEN-MAINFLINGEN
7744,W09,H18,HANSA-MASCHINENBAU,"HANSA-MASCHINENBAU GMBH (NUTZFAHRZEUGE, ARBEITSMA.)",SELSINGEN
7745,,,MEEL,KARL MEEL KAROSSERIE-U.FAHRZEUGBAU,KARLSRUHE
7746,,,"ECKART, GERHARD",GERHARD ECKART MASCHINENBAU (ANHAENGER U.FASSWAGEN),LANDSHUT
7747,W09,K22,KOEHLER SILOBAU,KOEHLER INTERCONSULT GMBH (ANHAENGER),FELDKIRCHEN/MUENCHEN
7748,,,GROWA,GROWA FAHRZEUGBAU GMBH (ANHAENGER),NOTTULN-APPELHUELSEN
7749,,,HEINS,HEINS MASCHINENBAU GMBH,VISSELHOEVEDE
7750,,,EGGERT,EGGERT GMBH (ANHAENGER),BARTH
7751,,,WIENER,E.WIENER GMBH & CO KG (ZWEIRADWERK),SENNFELD
7752,W09,S52,STEHMANN,STEHMANN GMBH KAROSSERIE-UND FAHRZEUGBAU (ANHAENGER),GEESTE-OSTERBROCK
7753,W09,S65,SOESTER FAHRZEUGBAU,SOESTER FAHRZEUGBAU GMBH & CO KG (ANHAENGER),SOEST
7754,W09,J09,JANSKY,JANSKY FAHRZEUG-U.APPARATEBAU (ANHAENGER),EMSDETTEN
7755,,,EHRENSCHWENDTNER,EHRENSCHWENDTNER GMBH FAHRZEUG-U.MASCHINENBAU,SCHEMMERBERG/RISS
7756,W09,L12,LORENZ & RANKL,LORENZ & RANKL GMBH & CO FAHRZEUGBAU KG,WOLFRATSHAUSEN
7757,,,HARLEY-DAV.NORDH.(D),HARLEY-DAVIDSON NORDHESSEN OHG (KRAFTRAEDER),SCHAUENBURG
7758,,,LESCHA,LESCHA MASCHINENFABRIK GMBH & CO KG (ANHAENGER),GERSTHOFEN
7759,W0E,,OETTINGER-OKRASA,OKRASA DIPL.-ING. G.OETTINGER GMBH & CO KG,FRIEDRICHSDORF
7760,W09,C05,CENTURY II,CENTURY II GMBH MOBILKRANE,DORTMUND
7761,,,WAGNER,WAGNER FAHRZEUGBAU,WALZBACHTAL
7762,,,"STOLL, WILHELM",WILHELM STOLL MASCHINENFABRIK GMBH,LENGEDE/BROISTEDT
7763,WEC,,ECOAIR,ECOAIR DRUCKLUFTTECHNIK GMBH (ANHAENGER),HERNE
7764,W09,W06,WENDLER,WENDLER KAROSSERIEBAU GMBH,REUTLINGEN
7765,WKB,,KOCH,KOCH ANHAENGERWERKE GMBH & CO. KG,WINSEN/LUHE
7766,W09,L13,LINDNER & FISCHER,LINDNER & FISCHER FAHRZEUGBAU GMBH (ANHAENGER),LANGENAU
7767,WHN,,HANOMAG AG,HANOMAG AG (ARBEITSMASCHINEN),HANNOVER
7768,W09,G68,GLORIA-WERKE,GLORIA GmbH,Wadersloh
7769,,,PFLAUM,JOHANN PFLAUM GMBH (ANHAENGER),DETTINGEN
7770,,,TUENNISSEN U.STOCKS,TUENNISSEN U.STOCKS GMBH (ANHAENGER),NEUKIRCHEN-VLUYN
7771,W09,P17,PRESTEL,PRESTEL GMBH FAHRZEUG-U.GERAETEBAU (ANHAENGER),MEMMINGEN
7772,,,WTR,WTR WEHRTECHNIK GMBH (ANHAENGER),REINBECK
7773,W09,A26,AUTO ABT,AUTO-ABT (PERSONENWAGEN),KEMPTEN (ALLGAEU)
7774,W09,V05,VIELHAUER-MENSCH.-VM,VM EXCLUSIVER FAHRZEUGBAU GMBH (PERSONENKRAFTWAGEN),BERGISCH-GLADBACH
7775,W09,M07,M-TEC MATHIS,M-TEC MATHIS TECHNIK GMBH (ANHAENGER),NEUENBURG/RHEIN
7776,W09,T10,TITAN,TITAN SPEZIALFAHRZEUGBAU GMBH,BACKNANG
7777,,,GREENLAND,GREENLAND GMBH & CO KG (ANHAENGER),GOTTMADINGEN
7778,,,WEINMANN,WEINMANN FAHRZEUG U.TECHNIK,EGLING/WOLFRATSHAUSEN
7779,W09,B15,BICKEL,BICKEL-TEC GmbH,Rheinau
