KBA,WMI1,WMI2,Name,FullName,Location
7613,UA1,,AUSA (E),AUSA Center S.L.U.,Manresa/Spanien
7628,TW2,,FORD (P),FORD LUSITANA SARL(CAR/TRUCK/BUS/MP-PASSENGER VEHIC),LISSABON II/PORTUGAL
7629,,,VEICULOS (P),SIS VEICULOS MOTORIZADOS LDA,ANADIA/PORTUGAL
7630,TW7,,AUSTIN ROVER (P),AUSTIN ROVER LDA,LISBOA CODEX/PORTUGAL
7631,TX5,,MOKE AUTOMOBILI (P),MOKE AUTOMOBILI (PASSENGER CAR),VENDASNOVAS/PORTUGAL
7650,,,METALURGIA CASAL (P),METALURGIA CASAL S.A.R.L.,AVEIRO/PORTUGAL
7651,,,BUERK & SCHABER-FBS,BUERK & SCHABER GMBH FAHRZEUGBAU (ANHAENGER),MEMMINGEN
7652,WKH,,KEPPLER,KEPPLER GMBH FAHRZEUGBAU (ANHAENGER),APPENWEIER
7653,,,"HARTMANN,INGELHEIM",FALK HARTMANN MOTORRAD-UND BEIWAGEN SERVICES,INGELHEIM/RHEIN
7654,,,ZEYHER-TWA,AUTOHAUS ZEYHER GMBH (KRAFTRAEDER),WEINSTADT (STRUEMPFELBACH)
7655,,,SCHMIEDBAUER,STEFAN SCHMIEDBAUER METALLBAU GBR (ANHAENGER),DOERVERDEN-WESTEN
7656,WAP,,ALPINA,ALPINA Burkard Bovensiepen GmbH + Co. KG,Buchloe
7657,W09,F06,FRANKIA,FRANKIA-GP GMBH,MARKTSCHORGAST
7658,,,NISSEN,KAWA-NISSEN (KRAFTRAEDER),LAHNSTEIN
7659,W09,J01,IKF,IKF-INDUSTRIE U.KOMMUNALFAHRZEUGE GMBH(KEHRMASCHINE),HOFOLDING B.MUENCHEN
7660,W09,S20,SCHLIESING,HANS SCHLIESING (ANHAENGER),KEMPEN
7661,,,FOERSTERMANN,WILLI FOERSTERMANN (ANHAENGER),EINBECK-SALZDERHELDEN
7662,,,VESTA CROCO,VESTA CROCO GMBH & CO KG (GELAENDEFAHRZEUGE),RHEINSTETTEN
7663,,,ETWO,ETWO TRANSPORTGERAETE,"NIEDERHOFEN,POST DIETKIRCHEN"
7664,W09,S06,STEINWINTER,STEINWINTER LKW & BUS GMBH (NUTZFAHRZEUGE),STUTTGART
7665,,,DRESSER,DRESSER EUROPE SA (ARBEITSMASCHINEN),HEIDELBERG
7666,,,SCHWELM,SCHWELM FAHRZEUGBAU GMBH (ANHAENGER),SCHWELM
7667,,,"MUELLER,LEVERKUSEN",SPEDITION MUELLER GMBH (ANHAENGER),LEVERKUSEN
7668,W09,S26,SPILLER,SPILLER KAROSSERIE-U.FAHRZEUGBAU (ANHAENGER),BORKEN
7669,,,MAISCH,GEBR.MAISCH GMBH (KRAFTRAEDER),AMMERBUCH-PFAEFFINGEN
7670,,,OBERL.STAHL-U.FZ-BAU,VEB OBERLAUSITZER STAHL-U.FAHRZEUGBAU (ANHAENGER),GEORGEWITZ-BELLWITZ/DDR
7671,WAB,,ABL,ABL AUFBAUTEN U.ANHAENGERBAU GMBH (ANHAENGER),LASTRUP
7672,,,LECH,LECH-GARAGEN GMBH (ANHAENGER),KOENIGSBRUNN
7673,W09,T09,TRESER,K.TRESER GMBH AUTOMOBILTECHNIK U.DESIGN (PKW),INGOLSTADT
7674,WBN,,BANTON,BANTON AUTOMOBIL GMBH (PERSONENWAGEN),REHLINGEN-SIERSBURG
7674,,,BANTON,GWS-FAHRZEUGDESIGN HANDELS GMBH (PERSONENWAGEN),ALTENKESSEL
7675,,,CARELL,CARELL FAHRZEUGBAU GMBH (KRAFTRAEDER),HAREN/EMS
7676,,,"FISCHER,GUENTER",GUENTER FISCHER MOTORRADTECHNIK (KRAFTRAEDER),KOELN
7677,W09,C04,CON-MODA,CON-MODA GMBH (PERSONENWAGEN),KOELN
7678,,,VV MOTORRADTECHNIK,VV MOTORRADTECHNIK VOELKEL VOSS,WUPPERTAL
7679,W09,K20,KRUPP INDUSTRIETECH.,KRUPP INDUSTRIETECHNIK GMBH (KRANBAU),WILHELMSHAVEN
7680,,,BARTHOLD-SP.-MA.-BSM,BARTHOLD-SPORT-MASCHINEN,ULM
7681,W09,S07,SCHULZ-AUTOMOBILE,SCHULZ-AUTOMOBILE (PERSONENKRAFTWAGEN),KORSCHENBROICH
7682,W09,M41,MORHARD + RENTSCHLER,MORHARD + RENTSCHLER GDBR KAROSSERIEBAU (ANHAENGER),ALTENSTEIG-UEBERBERG
7683,,,METZGER,METZGER FAHRZEUGBAU (ANHAENGER),BAD BOCKLET
7684,,,PS-SCHUPPEN,PS-SCHUPPEN MOTORRAD-TECHNIK GMBH (KRAFTRAEDER),WIETMARSCHEN
7685,,,HEIDEN,HEINRICH HEIDEN GMBH & CO KG FAHRZEUGBAU (ANHAENGER),DUEREN-BIRKESDORF
7686,WWC,,WM MEYER,WM MEYER FAHRZEUGBAU AG (ANHAENGER),WERNECK
7686,W09,W04,WM MEYER,WM MEYER FAHRZEUGBAU AG (ANHAENGER),WERNECK
7687,W09,SE1,SOLLER,Soller Landmaschinen GmbH,GEISENFELD
7688,,,BRUNE,MANFRED BRUNE (KRAFTRAEDER),TELGTE
7689,W09,H06,HARTGE,HARTGE GMBH (PERSONENKRAFTWAGEN),BECKINGEN
