KBA,WMI1,WMI2,Name,FullName,Location
1522,W09,SF8,S&Ü,S&Ü Hydraulik und Maschinenbau GmbH,Marienmünster
1523,TSN,,BABO (H),BABO MOTORS KFT,Budapest/Ungarn
1524,WWS,,Winora,Winora-Staiger GmbH,Sennfeld
1525,W09,HC1,Hübner-Polyester,Hübner-Polyester,Niedercunnersdorf
1526,W09,L56,LEIBER Fahrzeugtechnik,Leiber Fahrzeugtechnik,Engen
1527,W09,BA1,Börger,Börger GmbH,Borken-Weseke
1528,WRV,,RMMV,Rheinmetall MAN Military Vehicles GmbH (RMMV),München
1528,W09,R55,RMMV,Rheinmetall MAN Military Vehicles GmbH (RMMV),München
1529,W09,F67,FAF,FAF Fördertechnik GmbH,Brieselang
1530,W09,SF9,Spectra,Spectra GmbH,Stutensee
1531,W09,P49,Paul Nutzfahrzeuge,Paul Nutzfahrzeuge GmbH,Vilshofen
1532,W09,R58,Röttger,Röttger-Fahrzeugbau GmbH,Homberg-Relbehausen
1533,,,Atlas Weyhausen,Atlas Weyhausen GmbH,Wildeshausen
1534,KF0,,Kooper (IL),Kooper International Ltd.,Tel Aviv/Israel
1535,XNZ,,Zest (NL),Zest Products B.V.,Heemskerk/Niederlande
1536,WES,,EFW-Suhl,efw-Suhl GmbH,Suhl
1537,W09,BA2,Bunnefeld,Bunnefeld Anhängerbau UG (haftungsbeschränkt),Haren-Emmeln
1538,WH2,,H2O E- Mobile,H2O E- Mobile GmbH,Varel
1539,W09,A63,Aggretech,Aggretech AG,Ruhstorf
1540,W09,T57,TBZ,TBZ GmbH,Bretten
1541,W09,D43,Dynajet,Dynajet GmbH,Nürtingen
1542,TCK,,Kyburz (CH),Kyburz Switzerland AG,Freienstein/Schweiz
1543,W09,T58,Tamke,Tamke Verkaufsfahrzeuge GmbH,Rotenburg (Wümme)
1544,NLF,,Koluman (TR),Koluman Otomotiv Endüstri A.S.,Yenice-Tarsus-Mersin/Türkei
1545,WTV,,TRAVEC,TRAVEC Automotive GmbH,Frankfurt am Main
1546,,,Esselmann Fahrzeugtechnik,Esselmann Fahrzeugtechnik GmbH,Scheeßel
1547,LKK,,Jiangsu Jinjie (RC),"Jiangsu Jinjie Motor Manufacture Co., Ltd.","Xishan, Wuxi, Jiangsu/China"
1548,ZG2,,E.V.F. (I),E.V.F. S.p.A.,Monterubbiano/Italien
1549,VJ2,,MIA ELECTRIC (F),MIA ELECTRIC SAS,Cerizay Cedex (F)
1550,SBM,,McLaren (UK),McLaren Automotive Ltd,"Woking, Surrey/Vereinigtes Königreich"
1551,W09,KC4,KFB Schlumbohm und Rohde,Karosserie- und Fahrzeugbau Schlumbohm und Rohde GmbH,Soltau
1552,W09,T46,TS Industrie,TS Industrie GmbH,Neukirchen-Vluyn
1553,W09,SF0,SANY,SANY Europe GmbH,Bedburg
1554,NP8,,DURMUS ÖZGÜL (TR),DURMUS ÖZGÜL OTOMOTIV ITH.IHR. SAN. ve TIC. A.S.,KONYA/TÜRKEI
1554,NP9,025,DURMUS ÖZGÜL (TR),DURMUS ÖZGÜL OTOMOTIV ITH.IHR. SAN. ve TIC. A.S.,KONYA/TÜRKEI
1555,VA9,,BERGER (A),Berger Fahrzeugtechnik GmbH,Radfeld/Österreich
1555,VCB,ZTO,BERGER (A),Berger Fahrzeugtechnik GmbH,Radfeld/Österreich
1556,WLX,,LADA,LADA Automobile GmbH,Buxtehude
1557,L8Y,,ZHEJIANG JONWAY (RC),"ZHEJIANG JONWAY MOTORCYCLE MANUFACTURING CO., LTD","Luqiao, Taizhou, Zhejiang/China"
1558,W09,A64,AtTrack,AtTrack GmbH,Stuttgart
1559,W09,SG1,Seka,Seka Nutzfahrzeuge GmbH & Co.KG,Leverkusen
1560,WK4,,Kärcher Futuretech,Kärcher Futuretech GmbH,Schwaikheim
1561,MD7,,LML Limited (IND),LML Limited,Kanpur/Indien
1562,SVR,,Sogewalot (PL),Sogewalot sp.z.o.o.,Krzemieniewo/Polen
1563,NP9,108,GUEVEN (TR),Güven Makina Sanayi VE TIC.LTD.STI,Iskenderun (TR)
1564,WJC,,IAV Cars,IAV Cars GmbH,Berlin
1565,W09,N25,Nilfisk-Advance,Nilfisk-Advance Eppingen GmbH,Eppingen
