KBA,WMI1,WMI2,Name,FullName,Location
6550,,,BRIAB-RICKARDSSON,BRIAB-RICKARDSSON GMBH,ISMANING
6551,W09,B41,BAUER & FLACH,BAUER & FLACH GMBH FAHRZEUGBAU (ANHAENGER),KLEINASPACH
6552,,,"FRIELINGHAUS,HERMANN",HERMANN FRIELINGHAUS VERKAUFSANHAENGERBAU,BEELEN
6553,,,CELLER MASCHINENFABR,CELLER MASCHINENFABRIK. GEBR.SCHAEFER,CELLE
6554,,,NORDMEYER,WERNER NORDMEYER ING.ERBEN KG,PEINE-HANDORF
6555,,,HAMM,HAMM WALZENFABRIK GMBH,TIRSCHENREUTH
6556,,,TRAILOR,TRAILOR DEUTSCHLAND GMBH,HAAN/RHEINLAND
6557,,,IBP-PIETZSCH,IBP PIETZSCH GMBH,ETTLINGEN
6558,,,KAROSSERIEW.WEINSBG.,KAROSSERIE WERKE WEINSBERG,WEINSBERG
6559,,,CLARK SCHUMANN,CLARK SCHUMANN FAHRZEUGFABRIK GMBH,KIRCHHEIMBOLANDEN
6560,W09,S87,"SCHMIDT,HANSJOERG",HANSJOERG SCHMIDT PKW-ANHAENGER,NUEMBRECHT/GADEROTH
6561,,,EISELE & SOEHNE,FRANZ EISELE U.SOEHNE GMBH U.CO KG,SIGMARINGEN
6562,,,AREAL-FR.SCHMIDT,AREAL - FR.SCHMIDT GMBH FAHRZEUGBAU,VREDEN
6563,,,LEIBLEIN,OTTO LEIBLEIN FAHRZEUGBAU,HARDHEIM/ODENWALD
6564,W09,W50,WIENS SAFETY-TRAILER,WIENS SAFETY-TRAILER GMBH,OERLINGHAUSEN
6565,,,ROEHRKASTE,ROEHRKASTE KAROSSERIE-U.FAHRZEUGTECHNIK,STADTHAGEN
6566,,,"WOLF,JOHANN",JOHANN WOLF KG FAHRZEUGBAU,FLOSS/OBERPFALZ
6567,,,SAARBR.KAROSS.FA-SKF,SKF-SAARBRUECKER KAROSSERIEFABRIK GMBH,SAARBRUECKEN
6568,,,"BERESZYNSKI,ALFRED",ALFRED BERESZYNSKI,WERNE/LIPPE
6569,,,"BERESZYNSKI,ANTON",ANTON BERESZYNSKI,WERNE/LIPPE
6570,,,LEISINGER,HANS LEISINGER FAHRZEUGBAU,NEUENBURG/BADEN
6571,W09,F10,"FISCHER,GEORG",GEORG FISCHER GMBH & CO MASCHINEN-U.KESSELFABRIK,GUENZBURG/DONAU
6572,W09,B71,BEISL,BEISL ANHAENGERBAU GMBH,ADLHAUSEN
6573,W09,B31,BALO,JOHANN UND WALTER BALO FAHRZEUGBAU (ANHAENGER),HARTHEIM/RHEIN
6574,,,MUELLER & MAISCH,MUELLER & MAISCH,KIRCHHEIM/TECK
6575,,,KRAFFZIK,EUGEN KRAFFZIK NUTZFAHRZEUGE,LANGENDAMM
6576,,,MUELLER + WOLTERS,MUELLER + WOLTERS FAHRZEUGBAU,WESEL
6577,,,"WOLF,WERNER",WERNER WOLF FAHRZEUGBAU,KOBERN-GONDORF
6578,,,WINKLER,HORST WINKLER FAHRZEUGBAU,KIRCHLINTELN
6579,,,COMBICAMP,COMBICAMP AS,GREVINGE
6580,,,LINDENSCHMIDT-MEYER,LINDENSCHMIDT-MEYER,ENNAHOFEN UEB.EHINGEN/DONAU
6581,,,SCHEIBE,HELMUT SCHEIBE,WESTERROENFELD
6582,,,"SCHROEDER,D.",D.SCHROEDER,ECKERNFOERDE
6583,,,BURKERT,F.BURKERT & CO,GERABRONN
6584,,,"SCHULTE,GERHARD",FAHRZEUGBAU GERHARD SCHULTE,DERSUM
6585,,,CARAVANBAU-CONTINENT,CARAVANBAU-CONTINENT,SILBERG/HESSEN
6586,W09,A08,AHLMANN-MASCHINENBAU,AHLMANN BAUMASCHINEN GMBH (ARBEITSMASCHINEN),BUEDELSDORF
6587,,,BECKER,BECKER FAHRZEUGBAU,SIEGEN
6588,,,LATZ,PETER LATZ GMBH LANDMASCHINEN-FAHRZEUGBAU,SCHWARZENBACH
6589,,,SCHMIDT U.GOERKE,SCHMIDT U.GOERKE,BORK
6590,W09,H04,HARNISCHFEGER (D),HARNISCHFEGER GMBH MASCHINENFABRIK (KRANBAU),DORTMUND
6591,WMD,,MAGIRUS-DEUTZ,"MAGIRUS DEUTZ AG (LKW, FAHRGESTELLE)",ULM
6592,,,SCHALLEX APPARATEBAU,SCHALLEX APPARATEBAU HERBERT BALOGH GMBH,SIEGEN
6593,,,MAKO-AUTOMOBILE,MAKO-AUTOMOBILE (PERSONENWAGEN),HILDEN
6594,,,NIGGEMEYER,NIGGEMEYER GMBH KAROSSERIE-U.FAHRZEUGBAU,PADERBORN
6595,W09,G37,GERMANIA-FAHRZEUGBAU,GERMANIA-FAHRZEUGBAU GMBH (ANHAENGER),GESCHER
