KBA,WMI1,WMI2,Name,FullName,Location
0031,WMA,,MASCH.F.A-NUERNB-MAN,MASCHINENFABRIK AUGSBURG-NUERNBERG AG(NUTZFAHRZEUGE),MUENCHEN
0032,W09,M30,M+S,M+S BAUMECHANIK GMBH (ANHAENGER),HAGENOW
0033,,,ILO-MUENCHEN,SUEDDEUTSCHES ILO-WERK GMBH,MUENCHEN
0034,,,ROCKWELL,ROCKWELL GMBH,PINNEBERG
0035,WOL,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0035,W04,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0035,W06,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0035,W08,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0035,1G0,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0035,1G6,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0035,4GD,,OPEL,Adam Opel GmbH,Rüsselsheim am Main
0036,,,DEUTSCHE FIAT/NECKAR,DEUTSCHE FIAT AG,HEILBRONN/NECKAR
0036,,,NECKAR-AUTOMOBILW.,NECKAR-AUTOMOBILWERKE AG,HEILBRONN/NECKAR
0036,,,NECKAR-NSU-AUTOMOBIL,NSU-AUTOMOBIL AG,HEILBRONN/NECKAR
0037,,,NSU-MOTORENWERKE,NSU-MOTORENWERKE AG,NECKARSULM/WUERTTEMBERG
0038,,,OSTNER,OSTNER-FAHRZEUGWERKE,SULZBACH-ROSENBERG/OBERFRANKEN
0039,WOL,,OPEL,ADAM OPEL AG AUTOMOBILFABRIK (PKW/LKW),RUESSELSHEIM/MAIN U.BOCHUM
0039,W06,,OPEL,ADAM OPEL GmbH AUTOMOBILFABRIK (PERSONENWAGEN),RUESSELSHEIM/MAIN
0039,4GD,,OPEL,ADAM OPEL AG AUTOMOBILFABRIK (PERSONENKRAFTWAGEN),RUESSELSHEIM
0040,,,PHAENOMEN,PHAENOMEN-WERKE GUSTAV HILLER AG,HAMBURG 24
0041,,,RMW-MOTORRADWERKE,RMW-MOTORRADWERKE GMBH -PHOENIX-,NEHEIM/HUESTEN
0042,,,PRIMUS,PRIMUS-TRAKTORENGESELLSCH. JOHANNES KOEHLER & CO KG,MIESBACH/OBERBAYERN
0043,,,EISENACHER MOT.W-EMW,VEB EISENACHER MOTOREN WERK,EISENACH/DDR
0044,W09,H25,"HAAG,BENNO",BENNO HAAG FAHRZEUGBAU (ANHAENGER),WAGHAEUSEL
0045,W09,W19,WELCO,WELCO GMBH FERTIGUNGSTECHNIK (ANHAENGER),BUENDE
0046,,,BERNING,MOTORENBAU ALFRED BERNING,SCHWELM/WESTFALEN
0047,W09,B25,BRANDL,T.BRANDL KG KAROSSERIEBAU (ANHAENGER),BAMBERG
0048,,,SIMSON-BSW.,SAG AWO-WERK SIMSON U.CO,SUHL/DDR
0048,,,SIMSON-BSW.,BERLIN-SUHLER-WAFFEN-U.FAHRZEUGWERKE (KRAFTRAEDER),SUHL/DDR
0048,,,SIMSON-BSW.,VEB FAHRZEUG-U.GERAETEWERK SIMSON,SUHL/DDR
0049,,,"GUTBROD,PLOCHINGEN",GUTBROD-MOTORENBAU GMBH,PLOCHINGEN/NECKAR
0050,,,"STOCK,MOTORPFLUG",STOCK MOTORPFLUG GMBH,HEIDELBERG
0051,W09,S36,"STAIGER,WEIL",STAIGER FAHRZEUG-U.KAROSSERIEBAU GMBH (ANHAENGER),WEIL IM SCHOENBUCH
0052,,,"BUCHER,JOHANN",MASCHINENFABRIK JOHANN BUCHER KG,KLETTGAU 2-GRIESSEN/SUEDBADEN
0053,W09,E18,"ERHARDT,DRESDEN",ERHARDT FAHRZEUGWERK DRESDEN GMBH (ANHAENGER),DRESDEN
0054,,,VIDAL & SOHN,VIDAL & SOHN TEMPO-WERK GMBH,HAMBURG-HARBURG 1
0055,,,TORNAX-WERK,TORNAX ZWEIRADWERK GMBH,FRANKFURT/MAIN-70
0056,,,TRIUMPH WERKE,TRIUMPH WERKE NUERNBERG AG,NUERNBERG
0057,,,UT-MOTORRADFABRIK,UT-MOTORRADFABRIK SCHWENK & SCHNUERLE KG,STUTTGART-MOEHRINGEN
0058,,,VICTORIA WERKE,VICTORIA WERKE AG,NUERNBERG
0059,W09,M31,"MAYER,H.","KAROSSERIEBAU H.MAYER, INH.ERIK GEISELMANN (ANHAENGER)",TUTTLINGEN
0060,,,DAIMLER-BENZ-LUEG,ARBEITSGEM.DAIML.BENZ AG/FAHRZEUGWERKE LUEG GMBH,ESSEN
0061,,,WANDERER(AUTO-UNION),WANDERER-WERKE (AUTO-UNION AG),SIEGMAR-SCHOENAU/SACHSEN
0062,W09,G17,GODE,GODE METALLBAU GMBH (ANHAENGER),HATTEN-TWEELBAEKE
0063,W09,T21,TONNE,HEINZ TONNE LANDMASCHINEN GMBH & CO KG (ANHAENGER),NEERSTEDT
0064,WZW,,ZUENDAPP-WERKE,ZUENDAPP-WERKE GMBH (KRAFTRAEDER),MUENCHEN 8
0065,,,BACHERT,GEBR.BACHERT FEUERWEHRGERAETEFABRIK,BAD FRIEDRICHSHALL/WUERTTEMBERG
0066,,,BOHN & KAEHLER,BOHN & KAEHLER MOTOREN-U.MASCHINENFABRIK GMBH,KIEL
0067,,,BKS,BKS GESELLSCHAFT MBH HEBE-U.TRANSPORTGERAETE,VELBERT/RHEINLAND
0068,,,"BUSCH,M.",M.BUSCH KG,BESTWIG/RUHR
0069,,,DOLBERG,"DOLBERG,GLASER & PFLAUM GMBH",ESSEN
