KBA,WMI1,WMI2,Name,FullName,Location
7870,W09,M16,"MAEHDR-WERKE,SINGW.",MAEHDRESCHERWERKE AG,SINGWITZ/SACHSEN
7871,,,FISCHER,FISCHER MASCHINENBAU & FAHRZEUGTECHNIK (KRAFTRAEDER),WESSELING
7872,W09,P08,PFAU,PFAU KOMMUNALGERAETE GMBH (SONDERKRAFTFAHRZEUGE),SPRINGE
7873,,,SPECTRACON,SPECTRACON GMBH (ANHAENGER),BUENDE/WESTFAHLEN
7874,WTR,,TREBBINER FAHRZEUGB.,TREBBINER FAHRZEUGFABRIK GMBH (ANHAENGER),TREBBIN
7875,W09,H11,METALLB.HENNIGSDORF,METALLBAU HENNIGSDORF GMBH (ANHAENGER),HENNIGSDORF
7876,,,KORU,"KORU FAHRZEUGTECHNIK GMBH (NUTZFAHRZEUGE, ANHAENGER)",SONNEBERG
7877,WKA,,KAESER,KAESER KOMPRESSOREN SE,Coburg
7878,,,CRAMER,CRAMER GMBH CO. KG (ANHAENGER),LEER/OSTFRIESLAND
7879,,,KHD AGRARTECHNIK,KHD AGRARTECHNIK GMBH (ZUGMASCHINEN),KOELN
7880,W09,H55,"HEIMANN, HUBERT",Heimann Fahrzeugbau GmbH & Co. KG,Nottuln-Darup
7881,WKC,,"KROEGER,FELIX",FELIX KROEGER FAHRZEUGBAU (ANHAENGER),AMMERSBEK B.HAMBURG
7882,W09,A10,SCHWERINER NUTZFZ,"SCHWERINER NUTZFAHRZEUGE GMBH (NUTZFAHRZ., ANHAENGER)",SCHWERIN
7883,W09,S92,STORCH,METALLBAU SIEGFRIED STORCH,TRUSETAL
7884,WSB,,STEDELE,Anhängerbau Stedele GmbH,Wörth
7885,,,SAB VIETZ,SAB VIETZ SCHWEISS-U.STROMAGGREGATEBAU GMBH (ANH.),HANNOVER
7886,W09,K20,KRUPP MOBILKRANE,KRUPP MOBILKRANE GMBH,WILHELMSHAVEN
7887,W09,F44,"FISCHER,FZ-BAU",FAHRZEUGBAU FISCHER GMBH (ANHAENGER),SCHONGAU
7888,SNZ,,MOT.-U.ZWEIRADW.-MUZ,MUZ MOTORRAD-UND ZWEIRADWERK GMBH,ZSCHOPAU
7889,W09,HA6,HOHENESTER,HOHENESTER GMBH (PERSONENKRAFTWAGEN),GAIMERSHEIM
7890,WSC,,SCHWENK,"SCHWENK MOBILTECHNIK (NUTZFAHRZEUGE, ANHAENGER)",OBERKIRCH
7891,W09,T12,TEC CARAVAN,TEC CARAVAN GMBH U.CO (ANHAENGER),SASSENBERG
7892,W09,N06,"NISSEN, ADOLF",ADOLF NISSEN ELEKTROBAU GMBH + CO KG (ANHAENGER),TOENNING
