KBA,WMI1,WMI2,Name,FullName,Location
1190,W09,V18,Volkswagen Individual,Volkswagen Individual GmbH,Wolfsburg
1191,VAN,,MAN NUTZFAHRZEUGE (A),MAN NUTZFAHRZEUGE OESTERREICH AG,STEYR/ÖSTERREICH
1192,WCT,,CONCEPT TRAILER,CONCEPT TRAILER (ANHAENGER),BERGHEIM
1193,WEP,,EPPLE FAHRZEUGBAU,"EPPLE FAHRZEUGBAU,AUTOMARKT IM ODENWALD GMBH (KRAEDER)",MOERLENBACH
1194,W09,W47,BFR WISSKIRCHEN,BFR WISSKIRCHEN GMBH (ANHAENGER),BORNHEIM
1195,RGE,,AMSTRONG (RC),AMSTRONG INDUSTRY CORPORATION (KRAEDER),"TA-LI CITY, TAIWAN"
1196,W09,KB6,Klaas-Alu-Krane,Klaas Alu-Kranbau GmbH,Ascheberg
1197,W09,M88,MAURER,TONI MAURER GMBH & CO. KG (LKW),TUERKHEIM
1198,VA6,,WACHAUER (A),WACHAUER TECHNOLOGY DESIGN AG (KRAFTRAD),HIEFLAU/OESTERREICH
1199,WBD,,BOEHM INNOVATION,BOEHM INNOVATION (KRAFTRAD),GERETSRIED
1200,W09,R16,SST,STARSOWER SYSTEM TECHNIK GMBH (ANHAENGER),MIROW
1201,W09,P31,POLYMA ENERGIESYST.,POLYMA ENERGIESYSTEME GMBH (ANHAENGER),KASSEL
1202,WJB,,J.AE.G.E.R.,J.AE.G.E.R. TECHNISCHE HANDELS GMBH (ANHÄNGER),VOLKACH
1203,W09,M77,Maschinen-u.Antriebstech.,Maschinen-und Antriebstechnik GmbH & Co.KG,Güstrow
1203,W09,M89,Maschinen-u.Antriebstech.,Maschinen-und Antriebstechnik GmbH & Co.KG,Güstrow
1204,WGF,,GFB,GFB GmbH,Grossenhain
1205,W09,P40,Prince-Gas,Prince-Gas GmbH Deutschland,Aurich
1206,W09,B97,3B Motors,3B Motors,Euskirchen
1207,RKC,,KEEN (RC),KEEN PERCEPTION INDUSTRIES INC.,"Kaohsiung/Taiwan, R.O.C."
1208,W09,G64,GUMPERT,GUMPERT Sportwagenmanufaktur GmbH,Altenburg
1209,W09,E38,Engelhard,Engelhard Anhänger-Großmarkt GmbH & Co.KG,Aurach
1210,WSY,,SK-Projekt,S*K Projekt Limited,Hannover
1211,ZNZ,,ARGO (I),ARGO Tractors S.p.A.,Fabbrico/Italien
1212,W09,V11,Voss Karosseriebau,Voss Karosseriebau GmbH,Haseldorf
1213,AHT,,Toyota (ZA),Toyota South Africa Motors (PTY) Ltd,41100 Kwazulu-Natal
1214,MR0,,TOYOTA (THA),TOYOTA MOTOR THAILAND CO LTD (LKW),SAMUT PRAKAN/THAILAND
1215,,,Terex Schaeff,Terex | Schaeff GmbH,Langenburg
1216,LBM,,Piaggio (RC),"Piaggio Foshan Motorcycle Co., Ltd",Guangdong Province/China
1216,LBM,,Piaggio (RC),"Zongshen Piaggio Foshan Motorcycle Co., Ltd",Foshan City/China
1217,TSY,,KEEWAY (H),QIANJIANG-KEEWAY (EUROPA) ZRT.,Szentendre/Ungarn
1218,W09,A51,CENTIGON,CENTIGON GERMANY GMBH,OSTERHOLZ-SCHARMBECK
1219,W09,F63,Fresh Breeze,Fresh Breeze GmbH & Co. KG,Wedemark-Bissendorf
1220,W09,G62,Giegold,Giegold Maschinenbau GmbH,Rathenow
1221,ZJL,,R.G.P. (I),R.G.P. Srl,ARCORE/ITALIEN
1222,W09,G63,GLOBAL MOTORSPORT,GLOBAL MOTORSPORT GROUP GMBH,BAD KREUZNACH
1223,WBF,,BMS,BMS Bau-Maschinen-Service AG,Rheda-Wiedenbrück
1224,TCP,,PERAVES (CH),PERAVES AG Ecomobilfabrik,Winterthur/Schweiz
1225,W09,KB7,KAR,KAR KUNZ Aviation Refueling GmbH,Reibeck
1226,WFT,,FACTORY,Trailer FACTORY GmbH + Co.KG,Bergheim
1227,W09,KB8,Ketterer,Ketterer Spezialfahrzeuge GmbH,Karlsruhe
1228,W09,C26,Car-Concepte,Car-Concepte GmbH,Landesbergen
1229,,,Ishikawajima-Shibaura (J),"Ishikawajima-Shibaura Machinery Co.,Ltd","Nakano-ku, Tokyo/Japan"
1230,W09,T52,Terra Select,Terra Select GmbH & Co.KG,Sassenberg
1231,W09,SE9,SWAN-TRAILER,LTB Schwanengel GmbH,Steesow
1232,W09,KB9,KTS,KTS Kommunaltechnik & Truckservice GmbH,Elsdorf
1233,W09,A54,ATB,ATB Fahrzeugtechnik GmbH,Rüthen
