Id,Name
13,Mega
12,MDHD: Cab Beside Engine
11,MDHD: Non-Tilt
10,MDHD: Tilt
9,MDHD: LCF (Low Cab Forward)
8,MDHD: CAE (Cab Above Engine)
7,MDHD: CBE (Cab Behind Engine)
6,MDHD: COE (Cab Over Engine)
5,MDHD: Conventional
4,Crew/Super Crew/Crew Max
3,Regular
2,Extra/Super/Quad/Double/King/Extended
