Id,VehicleSpecSchemaId,Year
18421,5501,2017
18420,5501,2018
18419,5501,2019
18418,5501,2020
18417,5501,2021
18416,5501,2022
18415,5501,2023
18414,5501,2024
18413,5427,2024
18412,4638,2023
18404,5423,2024
18403,5799,2025
18402,6499,2026
18401,5802,2025
18400,6694,2024
18399,5481,2014
18398,5481,2015
18397,5481,2016
18396,5481,2017
18395,5481,2018
