Id,ManufacturerId,MakeId
13636,24390,13826
13635,25116,13825
13634,24743,13824
13633,24650,12286
13631,25106,13820
13630,25109,13817
13629,10644,12017
13628,25107,13815
13627,24877,13814
13626,25104,13813
13625,25066,13812
13624,20400,13811
13623,25103,13810
13622,25105,13809
13621,22641,13808
13620,3833,13807
13619,24750,13806
13618,25092,13805
13617,25050,13804
13616,24953,13803
