Id,VehicleSpecSchemaId,ModelId
11497,5501,27823
11496,5427,27823
11495,4638,27823
11493,5423,31831
11492,5799,31831
11491,6499,27827
11490,5802,34095
11489,6694,1895
11488,5481,1701
11487,4315,1963
11486,4311,3132
11485,5003,1963
11484,6693,1911
11483,6692,1904
11482,6691,2468
11481,6690,2223
11480,6689,2827
11479,6688,2237
11478,6687,34783
11477,6686,5107
