Id,FromElementId,ToElementId,Formula
7,13,12,#x# / 0.016387064 
5,12,13,#x# * 0.016387064 
4,13,11,#x# * 1000
3,11,13,#x# / 1000.
2,12,11,#x# * 16.387064 
1,11,12,#x# / 16.387064 
