Id,Name,Code,LookupTable,Description,IsPrivate,GroupName,DataType,MinAllowedValue,MaxAllowedValue,IsQS,Decode,weight
203,Wheelie Mitigation,WheelieMitigation,WheelieMitigation,<p>Wheelie Mitigation is a technology in motorcycles that helps prevent or reduce unintended front-wheel lift (wheelie) during acceleration. It is typically part of a motorcycle’s traction control or electronic stability control system. Depending upon the ,NULL,Exterior / Motorcycle,lookup,NULL,NULL,NULL,Pattern,NULL
202,Combined Braking System (CBS),CombinedBrakingSystem,CombinedBrakingSystem,<p>A CBS system is a motorcycle braking technology that applies both the front and rear brakes simultaneously when the rider engages either brake lever or pedal. The system is designed to improve braking stability and reduce stopping distances, especially ,NULL,Exterior / Motorcycle,lookup,NULL,NULL,NULL,Pattern,NULL
201,Fuel-Tank Material,FuelTankMaterial,FuelTankMaterial,<p>Fuel tanks may be constructed of a wide range of materials for various applications, and each have their own characteristics and advantages. The most common fuel tank materials found on motorcycles are: steel, aluminum alloy, fiberglass composite, other,NULL,Exterior / Motorcycle,lookup,NULL,NULL,NULL,Pattern,NULL
200,Fuel-Tank Type,FuelTankType,FuelTankType,<p>The fuel tank type refers to how the fuel tank is mounted to the motorcycle. Fuel tank types include: saddle (most common), under-seat, submerged in frame, and perimeter mount. Auxiliary or supplemental fuel tanks and bladders are considered other types,NULL,Exterior / Motorcycle,lookup,NULL,NULL,NULL,Pattern,NULL
196,Vehicle Descriptor,VehicleDescriptor,NULL,<p>Vehicle Descriptor is a string that can be decoded like a VIN but does not include information to identify an individual vehicle. The sequential numbers and the check digit are replaced by asterisks to avoid any personally identifiable information that ,0,NULL,string,NULL,NULL,NULL,Decoding,NULL
195,Non-Land Use,NonLandUse,NonLandUse,<p>Non-Land Use data element identifies the non-land use of the vehicle when a vehicle is designed to be used off land (e.g., an amphibious vehicle).</p><ul><li>Air: identifies vehicles that can be driven on land and in the air</li><li>Air and Water: ident,0,General,lookup,NULL,NULL,NULL,Pattern,NULL
194,Lane Centering Assistance,LaneCenteringAssistance,LaneCenteringAssistance,<p>A lane centering assistance system utilizes a camera-based vision system designed to monitor the vehicle's lane position and automatically and continuously apply steering inputs needed to keep the vehicle centered within its lane.</p>,0,Active Safety System / Lane and Side Assist,lookup,NULL,NULL,NULL,Pattern,NULL
193,Blind Spot Intervention (BSI),BlindSpotIntervention,BlindSpotIntervention,<p>BSI helps prevent a collision with a vehicle in the driver's blind spot. If the driver ignores the blind spot warning and starts to change to a lane where there's a vehicle, the system activates and automatically applies light braking pressure, or provi,0,Active Safety System / Lane and Side Assist,lookup,NULL,NULL,NULL,Pattern,NULL
192,Rear Automatic Emergency Braking,RearAutomaticEmergencyBraking,RearAutomaticEmergencyBraking,A rear automatic braking system uses sensors, like parking sensors and the backup camera, to detect objects behind the vehicle. If the system detects a potential collision while in reverse, it automatically applies the brakes if a crash is imminent.,0,Active Safety System / Backing Up and Parking,lookup,NULL,NULL,NULL,Pattern,NULL
191,Error Text,ErrorText,NULL,<p>Error Text</p>,0,NULL,string,NULL,NULL,NULL,Decoding,NULL
190,Gross Vehicle Weight Rating To,GVWR_to,GrossVehicleWeightRating,<p>Gross vehicle weight rating (GVWR) is the maximum operating weight of a vehicle including the vehicle's chassis, body, engine, engine fluids, fuel, accessories, driver, passengers and cargo, but excluding that of the trailers. Per 49 CFR 565.15, Class 1,0,Exterior / Dimension,lookup,NULL,NULL,NULL,Pattern,NULL
189,NCSA Mapping Exception Approved By,NCSAMapExcApprovedBy,NULL,<p>This field captures the name of the person who approved the NCSA mapping exception.</p>,1,Internal,string,NULL,NULL,NULL,NULL,NULL
188,NCSA Mapping Exception Approved On,NCSAMapExcApprovedOn,NULL,<p>The date when the NCSA mapping exception is approved on.</p>,1,Internal,string,NULL,NULL,NULL,NULL,NULL
187,NCSA Mapping Exception,NCSAMappingException,NCSAMappingException,<p>This internal field is to capture the reason of exception for special NCSA mapping.</p>,1,Internal,lookup,NULL,NULL,NULL,NULL,NULL
186,NCSA Note,NCSANote,NULL,<p>This internal field is to note the logic behind the NCSA mapping in special cases.</p>,1,Internal,string,NULL,500,NULL,Pattern,NULL
185,Gross Combination Weight Rating To,GCWR_to,GrossVehicleWeightRating,<p>Gross combination weight rating (GCWR) is the maximum allowable combined mass of a road vehicle, the passengers and cargo in the tow vehicle, plus the mass of the trailer and cargo in the trailer. This rating is set by the vehicle manufacturer. This fie,0,Exterior / Dimension,lookup,NULL,NULL,NULL,Pattern,NULL
184,Gross Combination Weight Rating From,GCWR,GrossVehicleWeightRating,<p>Gross combination weight rating (GCWR) is the maximum allowable combined mass of a road vehicle, the passengers and cargo in the tow vehicle, plus the mass of the trailer and cargo in the trailer. This rating is set by the vehicle manufacturer. This fie,0,Exterior / Dimension,lookup,NULL,NULL,NULL,Pattern,NULL
183,Rear Cross Traffic Alert,RearCrossTrafficAlert,RearCrossTrafficAlert,<p>A rear cross traffic alert system warns the driver of a potential collision, while in reverse, which may be outside the view of the backup camera.</p>,NULL,Active Safety System / Backing Up and Parking,lookup,NULL,NULL,NULL,Pattern,NULL
182,SAE Automation Level To,SAEAutomationLevel_to,NULL,<p>SAE stands for the Society of Automotive Engineers, which changed its name to SAE International in 2006. This field indicates the higher bound of intelligence level and automation capabilities of vehicles, ranking from 0 to 5, per SAE Standard J3016 201,0,Active Safety System,int,NULL,NULL,NULL,Pattern,NULL
181,SAE Automation Level From,SAEAutomationLevel,NULL,<p>SAE stands for the Society of Automotive Engineers, which changed its name to SAE International in 2006. This field indicates the lower bound of intelligence level and automation capabilities of vehicles, ranking from 0 to 5, per SAE Standard J3016 2018,0,Active Safety System,int,NULL,NULL,NULL,Pattern,NULL
