Id,Name
15,Direct Drive
14,Dual-Clutch Transmission (DCT)
13,Motorcycle - Chain Drive Off-Road
12,Motorcycle - CVT Belt Drive
11,Motorcycle - Shaft Drive Off-Road
10,Motorcycle - Chain Drive
9,Motorcycle - Shaft Drive
8,Automated Manual Transmission (AMT)
7,Continuously Variable Transmission (CVT)
4,Electronic Continuously Variable (e-CVT)
3,Manual/Standard
2,Automatic
