Id,Name
3,Level 3 DC Charger or fast charger (up to 400A, up to 600V DC, up to 240kW)
2,Level 2 AC Charger (up to 80A, 208-240V AC, up to 20kW from single- or three-phase AC) cables permanently fixed to charging station.
1,Level 1 AC Charger (typically 16A 120V 1.9kW or 13-16A 240V 3kW) may incorporate standard domestic power cord.
