Id,Name,Code,LookupTable,Description,IsPrivate,GroupName,DataType,MinAllowedValue,MaxAllowedValue,IsQS,Decode,weight
31,Plant City,PlantCity,NULL,<p>This data element captures the city of the manufacturing plant where the manufacturer affixes the VIN.</p>,0,General,string,NULL,NULL,NULL,Pattern,98
33,Number of Seats,Seats,NULL,<p>This data element is a numeric field to store the number of seats in a vehicle.</p>,0,Interior / Seat,int,NULL,NULL,NULL,Pattern,NULL
34,Series,Series,NULL,"<p>Per 49 CFR 565, Series means a name that a manufacturer applies to a subdivision of a ""line"" denoting price, size or weight identification and that is used by the manufacturer for marketing purposes.</p>",0,General,string,NULL,NULL,NULL,Pattern,61
36,Steering Location,SteeringLocation,Steering,"<p>This data element captures the location of steering column, either on left- (LHD) or right-hand side (RHD).</p>",0,Interior,lookup,NULL,NULL,1,Pattern,NULL
37,Transmission Style,TransmissionStyle,Transmission,"<p>Transmission style provides information about the type of transmissions. The major types of transmissions are manual transmission, automatic transmission, continuously variable transmission (CVT), and dual-clutch transmission (DCT).</p> ",0,Mechanical / Transmission,lookup,NULL,NULL,1,Pattern,NULL
38,Trim,Trim,NULL,"<p>Trim levels further identify a vehicle by a particular set of special features. Higher trim levels either will add to the features of the base (entry-level model), or replace them with something else.</p>",0,General,string,NULL,500,NULL,Pattern,61
39,Vehicle Type,VehicleType,VehicleType,<p>This field defines the type of the vehicle based on the World Manufacturer Identifier (WMI).</p>,0,General,lookup,NULL,NULL,NULL,WMI,99
40,Windows,Windows,NULL,<p>This field defines the number of windows on a vehicle.</p>,0,Exterior / Body,int,0,12,NULL,Pattern,NULL
41,Axles,Axles,NULL,<p>This numerical field defines the number of axles on a vehicle.</p>,0,Mechanical / Drivetrain,int,1,99,NULL,Pattern,15
42,Brake System Type,BrakeSystemType,BrakeSystem,<p>Brake system type is the type of brake systems used to stop and hold the vehicle or combination of motor vehicles.</p>,0,Mechanical / Brake,lookup,NULL,NULL,NULL,Pattern,NULL
45,NCIC Code,NCICCode,NCICCode,Description for NCIC Code,0,NULL,lookup,NULL,NULL,NULL,NULL,NULL
48,Number of Battery Cells per Module,BatteryCells,NULL,<p>This field stores the information about how battery cells are arranged for a vehicle.</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
49,Bed Length (inches),BedLengthIN,NULL,<p>Defines the length of the pickup truck bed in inches.</p>,0,Exterior / Dimension,int,NULL,NULL,NULL,Pattern,NULL
52,Brake System Description,BrakeSystemDesc,NULL,<p>This field provides additional details about the brake system.</p>,0,Mechanical / Brake,string,NULL,500,NULL,Pattern,NULL
54,Curb Weight (pounds),CurbWeightLB,NULL,"<p>Curb weight (in pounds) is the total weight of a vehicle with standard equipment, all necessary operating consumables such as motor oil, transmission oil, coolant, air conditioning refrigerant, and a full tank of fuel, while not loaded with either passengers or cargo.</p>",0,Exterior / Dimension,int,NULL,NULL,NULL,Pattern,NULL
55,Curtain Air Bag Locations,AirBagLocCurtain,AirBagLocations,<p>This field captures the location of curtain air bags. Curtain air bags are side air bags that protect the head.</p>,0,Passive Safety System / Air Bag Location,lookup,NULL,NULL,NULL,Pattern,NULL
56,Seat Cushion Air Bag Locations,AirBagLocSeatCushion,AirBagLocations,"<p>This field captures the location of seat cushion air bags, used as a supplement to the seat belts to help prevent the front passenger from sliding forward in the event of a front impact collision.</p>",0,Passive Safety System / Air Bag Location,lookup,NULL,NULL,NULL,Pattern,NULL
57,Battery Current (Amps) From,BatteryA,NULL,<p>Battery Current (Amps) From field stores the lower value for battery current range in the unit of amperes (amps).</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
58,Battery Voltage (Volts) From,BatteryV,NULL,<p>Battery Voltage (Volts) From field stores the lower bound for battery voltage range in the unit of volts.</p>,0,Mechanical / Battery,int,NULL,NULL,NULL,Pattern,NULL
59,Battery Energy (kWh) From,BatteryKWh,NULL,<p>Battery Energy (kWh) From field stores the lower bound of battery energy range in the unit of kilowatt-hour (kWh).</p>,0,Mechanical / Battery,decimal,NULL,NULL,NULL,Pattern,NULL
60,Wheel Base Type,WheelBaseType,WheelBaseType,"<p>This field describes the wheel base variations for some trucks and passenger cars, relative to other variants of the vehicle model. This field may have values such as short, standard, long, extra long, or super long.</p>",0,Exterior / Body,lookup,NULL,NULL,NULL,Pattern,NULL
61,Number of Seat Rows,SeatRows,NULL,<p>This data element is a numeric field to capture the number of rows of seats in a vehicle.</p>,0,Interior / Seat,int,NULL,NULL,NULL,Pattern,NULL
62,Valve Train Design,ValveTrainDesign,ValvetrainDesign,"<p>Valve train design defines engine camshaft design and control. Common values are single overhead cam (SOHC), dual overhead cam (DOHC), overhead valve (OHV), etc.</p>",0,Engine,lookup,NULL,NULL,NULL,Pattern,NULL
63,Transmission Speeds,TransmissionSpeeds,NULL,"<p>Transmission speed is a numerical field to capture the number of speeds for a transmission, such as 6 for a 6-speed automatic or manual transmission.</p>",0,Mechanical / Transmission,int,NULL,NULL,NULL,Pattern,NULL
64,Engine Configuration,EngineConfiguration,EngineConfiguration,"<p>Engine configuration defines how engine cylinders are arranged. Common values are V6 for V-shaped arrangement, I4 or L4 for in-line arrangement.</p>",0,Engine,lookup,NULL,NULL,1,Pattern,NULL
65,Front Air Bag Locations,AirBagLocFront,AirBagLocFront,"<p>This field captures the location of frontal air bags. Frontal air bags are generally designed to deploy in ""moderate to severe"" frontal or near-frontal crashes.</p>",0,Passive Safety System / Air Bag Location,lookup,NULL,NULL,NULL,Pattern,64
66,Fuel Type - Secondary,FuelTypeSecondary,FuelType,"Fuel type defines the fuel used to power the vehicle. For vehicles that have two power sources, such as plug-in hybrid vehicle, both primary fuel type and secondary fuel type will be provided.",0,Engine,lookup,NULL,NULL,1,Pattern,NULL
