TABLE_NAME,COLUMN_NAME,DATA_TYPE
vNCSAMake,Id,smallint
vNCSAMake,Name,varchar
DEFS_Body,ID,smallint
DEFS_Body,DEF,varchar
DEFS_Body,BODY_TYPE,varchar
DEFS_Body,FROM_YEAR,smallint
DEFS_Body,TO_YEAR,smallint
DEFS_Body,MODE,smallint
vNCSABodyType,Id,smallint
vNCSABodyType,Name,varchar
ValvetrainDesign,Id,int
ValvetrainDesign,Name,varchar
Turbo,Id,int
Turbo,Name,varchar
Transmission,Id,int
Transmission,Name,varchar
TrailerType,Id,int
TrailerType,Name,varchar
TrailerBodyType,Id,int
TrailerBodyType,Name,varchar
TractionControl,Id,int
TractionControl,Name,varchar
TPMS,Id,int
TPMS,Name,varchar
Steering,Id,int
Steering,Name,varchar
SemiautomaticHeadlampBeamSwitching,Id,int
SemiautomaticHeadlampBeamSwitching,Name,varchar
SeatBeltsAll,Id,int
SeatBeltsAll,Name,varchar
RearVisibilityCamera,Id,int
RearVisibilityCamera,Name,varchar
RearCrossTrafficAlert,Id,int
RearCrossTrafficAlert,Name,varchar
RearAutomaticEmergencyBraking,Id,int
RearAutomaticEmergencyBraking,Name,varchar
Pretensioner,Id,int
Pretensioner,Name,varchar
PedestrianAutomaticEmergencyBraking,Id,int
PedestrianAutomaticEmergencyBraking,Name,varchar
ParkAssist,Id,int
ParkAssist,Name,varchar
NonLandUse,Id,int
NonLandUse,Name,varchar
MotorcycleSuspensionType,Id,int
MotorcycleSuspensionType,Name,varchar
MotorcycleChassisType,Id,int
MotorcycleChassisType,Name,varchar
LowerBeamHeadlampLightSource,Id,int
LowerBeamHeadlampLightSource,Name,varchar
LaneKeepSystem,Id,int
LaneKeepSystem,Name,varchar
LaneDepartureWarning,Id,int
LaneDepartureWarning,Name,varchar
LaneCenteringAssistance,Id,int
LaneCenteringAssistance,Name,varchar
KeylessIgnition,Id,int
KeylessIgnition,Name,varchar
GrossVehicleWeightRating,Id,int
GrossVehicleWeightRating,Name,varchar
GrossVehicleWeightRating,SortOrder,int
GrossVehicleWeightRating,MinRangeWeight,int
GrossVehicleWeightRating,MaxRangeWeight,int
FuelType,Id,int
FuelType,Name,varchar
FuelTankType,Id,int
FuelTankType,Name,varchar
FuelTankMaterial,Id,int
FuelTankMaterial,Name,varchar
FuelDeliveryType,Id,int
FuelDeliveryType,Name,varchar
ForwardCollisionWarning,Id,int
ForwardCollisionWarning,Name,varchar
EVDriveUnit,Id,int
EVDriveUnit,Name,varchar
ErrorCode,Id,int
ErrorCode,Name,varchar
ErrorCode,AdditionalErrorText,varchar
ErrorCode,weight,int
EntertainmentSystem,Id,int
EntertainmentSystem,Name,varchar
EngineConfiguration,Id,int
EngineConfiguration,Name,varchar
ElectrificationLevel,Id,int
ElectrificationLevel,Name,varchar
EDR,Id,int
EDR,Name,varchar
ECS,Id,int
ECS,Name,varchar
DynamicBrakeSupport,Id,int
DynamicBrakeSupport,Name,varchar
DriveType,Id,int
DriveType,Name,varchar
DestinationMarket,Id,int
DestinationMarket,Name,varchar
DaytimeRunningLight,Id,int
DaytimeRunningLight,Name,varchar
CustomMotorcycleType,Id,int
CustomMotorcycleType,Name,varchar
Country,Id,int
Country,Name,varchar
Country,displayorder,int
CoolingType,Id,int
CoolingType,Name,varchar
CombinedBrakingSystem,Id,int
CombinedBrakingSystem,Name,varchar
ChargerLevel,Id,int
ChargerLevel,Name,varchar
CAN_AACN,Id,int
CAN_AACN,Name,varchar
BusType,Id,int
BusType,Name,varchar
BusFloorConfigType,Id,int
BusFloorConfigType,Name,varchar
BrakeSystem,Id,int
BrakeSystem,Name,varchar
BodyStyle,Id,int
BodyStyle,Name,varchar
BodyCab,Id,int
BodyCab,Name,varchar
